Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,1.428000,1.455000,1.380000,1.380000,1.098032,29031819
2017-04-04,1.360000,1.364000,1.328000,1.339000,1.065409,31361779
2017-04-05,1.345000,1.357000,1.333000,1.352000,1.075753,13883820
2017-04-06,1.350000,1.369000,1.350000,1.355000,1.078140,12794596
2017-04-07,1.357000,1.377000,1.354000,1.377000,1.095645,10214345
2017-04-10,1.378000,1.381000,1.357000,1.366000,1.086893,8501936
2017-04-11,1.361000,1.382000,1.359000,1.382000,1.099623,9046198
2017-04-12,1.384000,1.393000,1.361000,1.365000,1.086097,7915971
2017-04-13,1.364000,1.365000,1.342000,1.353000,1.076549,8369238
2017-04-18,1.353000,1.357000,1.328000,1.331000,1.059044,8871243
2017-04-19,1.331000,1.340000,1.322000,1.340000,1.066205,6636552
2017-04-20,1.337000,1.342000,1.322000,1.322000,1.051883,4410618
2017-04-21,1.321000,1.335000,1.311000,1.335000,1.062227,6577104
2017-04-24,1.360000,1.373000,1.341000,1.362000,1.083710,14036173
2017-04-25,1.368000,1.378000,1.361000,1.377000,1.095645,6505623
2017-04-26,1.373000,1.376000,1.355000,1.365000,1.086097,7981211
2017-04-27,1.356000,1.386000,1.356000,1.377000,1.095645,10543690
2017-04-28,1.375000,1.383000,1.363000,1.365000,1.086097,5899124
2017-05-02,1.365000,1.392000,1.364000,1.388000,1.104398,8506992
2017-05-03,1.387000,1.391000,1.373000,1.375000,1.094054,5843225
2017-05-04,1.382000,1.431000,1.378000,1.431000,1.138611,15206663
2017-05-05,1.431000,1.432000,1.402000,1.420000,1.129859,13242319
2017-05-08,1.433000,1.433000,1.413000,1.413000,1.124289,7499126
2017-05-09,1.426000,1.429000,1.413000,1.416000,1.126676,9141532
2017-05-10,1.420000,1.512000,1.413000,1.492000,1.187148,33365538
2017-05-11,1.501000,1.506000,1.464000,1.479000,1.176804,19810342
2017-05-12,1.483000,1.497000,1.460000,1.490000,1.185557,23074131
2017-05-15,1.490000,1.495000,1.468000,1.484000,1.180782,16538119
2017-05-16,1.480000,1.499000,1.471000,1.487000,1.183169,14520469
2017-05-17,1.487000,1.489000,1.444000,1.454000,1.156912,11623550
