Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,15.236339,15.301491,15.096727,15.180494,11.114429,1559872
2017-04-04,15.171186,15.273569,15.003652,15.217724,11.141686,981898
2017-04-05,15.413181,15.906477,15.385258,15.897170,11.639144,3994795
2017-04-06,15.729635,15.776172,15.375951,15.664483,11.468781,2732039
2017-04-07,15.552793,15.859940,15.524870,15.822710,11.584627,1498638
2017-04-10,15.850632,15.999552,15.748250,15.859940,11.611886,1279031
2017-04-11,15.822710,16.111242,15.729635,16.008860,11.720917,1551746
2017-04-12,16.278776,16.381159,15.934399,16.101934,11.789063,2102517
2017-04-13,16.092627,16.092627,15.645868,15.813402,11.577812,1319327
2017-04-18,15.869247,15.869247,15.310799,15.450411,11.312048,1452790
2017-04-19,15.422488,16.027473,15.422488,15.813402,11.577812,1233589
2017-04-20,15.496948,16.008860,15.496948,15.832017,11.591441,1450006
2017-04-21,15.804095,16.008860,15.794787,15.934399,11.666402,950729
2017-04-24,16.288084,16.502155,16.222931,16.343927,11.966238,2707630
2017-04-25,16.427696,16.734842,16.325314,16.660383,12.197932,1496690
2017-04-26,16.688305,16.799995,16.613846,16.669689,12.204746,1382101
2017-04-27,16.651075,16.734842,16.585922,16.632460,12.177487,956801
2017-04-28,16.632460,16.744150,16.539385,16.678999,12.211561,949460
2017-05-02,16.809301,17.051296,16.753456,16.818609,12.313777,1483455
2017-05-03,16.827917,17.014067,16.604538,16.669689,12.204746,2272565
2017-05-04,16.799995,17.358442,16.604538,17.265369,12.640873,4373453
2017-05-05,17.246754,17.442211,17.162987,17.404982,12.743091,2070466
2017-05-08,17.591129,17.823816,17.516670,17.730742,12.981596,2677665
2017-05-09,17.786587,18.140270,17.758665,18.028582,13.199660,2234988
2017-05-10,17.944815,17.982044,17.712128,17.907585,13.111074,1870966
2017-05-11,17.907585,18.140270,17.712128,17.712128,12.967968,2382877
2017-05-12,17.712128,18.009968,17.712128,18.000660,13.179218,1202722
2017-05-15,18.037889,18.214731,17.916891,18.019274,13.192847,1545277
2017-05-16,18.047197,18.112349,17.730742,17.888969,13.097444,1138287
2017-05-17,17.851740,17.954123,17.414288,17.535286,12.838493,1889581
2017-05-18,17.591129,17.646975,17.014067,17.488749,12.804421,2235701
2017-05-19,17.572515,17.954123,17.553900,17.879662,13.090630,2022467
2017-05-22,17.218830,17.404982,17.041988,17.107141,13.212837,1942294
2017-05-23,17.125755,17.386366,17.107141,17.311907,13.370988,1319195
2017-05-24,17.311907,17.367750,17.209524,17.311907,13.370988,666458
2017-05-25,17.432903,17.609745,17.330521,17.404982,13.442876,1186100
2017-05-26,17.330521,17.451517,17.200216,17.367750,13.414121,752787
2017-05-29,17.311907,17.451517,17.060604,17.107141,13.212837,929936
2017-05-30,17.032682,17.311907,16.893070,17.190908,13.277535,1473782
2017-05-31,17.218830,17.218830,16.799995,16.799995,12.975611,1467902
2017-06-01,16.799995,17.172295,16.799995,16.855841,13.018743,1103764
2017-06-02,16.986143,17.367750,16.911686,16.967529,13.105007,1117154
2017-06-05,16.930300,17.041988,16.716227,16.762766,12.946856,994072
2017-06-06,16.678999,16.725534,16.325314,16.548693,12.781515,1366081
2017-06-07,16.558001,16.734842,16.176394,16.250854,12.551477,1126137
2017-06-08,16.288084,16.902376,16.204315,16.883762,13.040308,2069336
2017-06-09,16.902376,17.023375,16.781380,16.837225,13.004365,857040
2017-06-12,16.865147,16.902376,16.548693,16.548693,12.781515,1000146
2017-06-13,16.753456,16.753456,16.483541,16.585922,12.810269,1099573
2017-06-14,16.632460,16.772072,16.418388,16.418388,12.680874,1059006
2017-06-15,16.409081,16.548693,16.250854,16.316006,12.601797,857340
2017-06-16,16.474234,16.688305,16.418388,16.688305,12.889346,774480
2017-06-19,16.734842,16.846533,16.632460,16.632460,12.846213,588978
2017-06-20,16.697613,16.986143,16.623154,16.688305,12.889346,1019593
2017-06-21,16.623154,16.883762,16.474234,16.837225,13.004365,848907
2017-06-22,16.716227,16.772072,16.511463,16.511463,12.752760,873978
2017-06-23,16.706921,16.818609,16.585922,16.734842,12.925289,713011
2017-06-26,16.762766,17.172295,16.762766,16.986143,13.119383,1093783
2017-06-27,16.986143,17.060604,16.623154,16.753456,12.939666,691418
2017-06-28,16.595230,16.725534,16.520769,16.725534,12.918099,1102176
2017-06-29,16.725534,16.911686,16.474234,16.548693,12.781515,923141
2017-06-30,16.585922,16.678999,16.325314,16.334621,12.616175,637739
2017-07-03,16.511463,16.799995,16.464926,16.651075,12.860591,857466
2017-07-04,16.660383,16.818609,16.660383,16.809301,12.982799,475784
2017-07-05,16.809301,17.107141,16.744150,16.874454,13.033119,2013500
2017-07-06,16.930300,17.041988,16.725534,16.772072,12.954043,756758
2017-07-07,16.762766,16.790688,16.502155,16.558001,12.788704,945459
2017-07-10,16.604538,16.734842,16.576614,16.725534,12.918099,612940
2017-07-11,16.734842,16.911686,16.651075,16.669689,12.874968,728221
2017-07-12,16.669689,17.330521,16.669689,17.302599,13.363800,1866757
2017-07-13,17.311907,17.321213,17.032682,17.079220,13.191272,645461
2017-07-14,17.190908,17.209524,16.846533,16.930300,13.076253,627732
2017-07-17,16.967529,17.023375,16.688305,16.799995,12.975611,803256
2017-07-18,16.781380,17.060604,16.753456,16.893070,13.047497,1812036
2017-07-19,16.930300,17.004759,16.799995,16.855841,13.018743,429870
2017-07-20,16.865147,17.032682,16.641768,16.725534,12.918099,1802621
2017-07-21,16.753456,16.799995,16.567308,16.799995,12.975611,864759
2017-07-24,16.799995,17.116449,16.772072,17.014067,13.140950,1162930
2017-07-25,17.079220,17.293291,17.032682,17.116449,13.220027,1151500
2017-07-26,17.181601,17.237446,17.060604,17.060604,13.176894,675917
2017-07-27,17.032682,17.693514,16.995453,17.581823,13.579460,2502607
2017-07-28,17.581823,17.656282,17.358442,17.460827,13.486010,643355
2017-07-31,17.442211,17.665590,17.414288,17.628361,13.615406,864388
2017-08-01,17.684204,17.730742,17.525978,17.591129,13.586650,904384
2017-08-02,17.591129,17.712128,17.507362,17.507362,13.521952,616893
2017-08-03,17.498056,17.656282,17.367750,17.628361,13.615406,894189
2017-08-04,17.581823,17.814510,17.563208,17.684204,13.658536,1193927
2017-08-07,17.730742,17.814510,17.563208,17.563208,13.565084,617298
2017-08-08,17.525978,17.665590,17.516670,17.591129,13.586650,505848
2017-08-09,17.498056,17.674898,17.349136,17.488749,13.507575,886499
2017-08-10,17.516670,17.591129,17.293291,17.293291,13.356611,578130
2017-08-11,17.218830,17.265369,16.790688,16.911686,13.061874,1220859
2017-08-14,17.060604,17.107141,16.911686,17.060604,13.176894,473953
2017-08-16,17.116449,17.581823,17.069912,17.572515,13.572272,1084638
2017-08-17,17.525978,17.572515,17.302599,17.302599,13.363800,569889
2017-08-18,17.097834,17.321213,17.041988,17.321213,13.378178,603666
2017-08-21,17.246754,17.395674,17.107141,17.200216,13.284725,471768
2017-08-22,17.274675,17.330521,16.855841,16.958221,13.097818,1199704
2017-08-23,17.032682,17.153679,16.855841,16.986143,13.119383,511815
2017-08-24,17.032682,17.116449,16.790688,16.790688,12.968421,777087
2017-08-25,16.818609,17.107141,16.818609,16.855841,13.018743,525277
2017-08-28,16.874454,17.088528,16.790688,16.865147,13.025930,834174
2017-08-29,16.772072,16.799995,16.269468,16.455618,12.709627,1374883
2017-08-30,16.595230,16.604538,16.362543,16.455618,12.709627,535558
2017-08-31,16.567308,16.716227,16.437002,16.474234,12.724006,824342
2017-09-01,16.520769,16.651075,16.437002,16.567308,12.795894,746823
2017-09-04,16.474234,16.576614,16.353235,16.464926,12.716817,465477
2017-09-05,16.446312,16.539385,16.353235,16.381159,12.652119,394337
2017-09-06,16.297392,16.446312,16.213623,16.343927,12.623363,835890
2017-09-07,16.381159,16.492847,16.213623,16.390467,12.659307,665021
2017-09-08,16.437002,16.437002,16.241547,16.343927,12.623363,421258
2017-09-11,16.409081,16.781380,16.409081,16.781380,12.961233,777048
2017-09-12,16.799995,16.846533,16.706921,16.827917,12.997176,810370
2017-09-13,16.846533,16.967529,16.706921,16.874454,13.033119,1049436
2017-09-14,16.818609,16.967529,16.716227,16.827917,12.997176,1239465
