Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,2.788000,2.790000,2.690000,2.704000,2.446065,20420333
2017-04-04,2.684000,2.726000,2.654000,2.710000,2.451493,17077814
2017-04-05,2.698000,2.764000,2.696000,2.718000,2.458730,19264779
2017-04-06,2.690000,2.722000,2.640000,2.712000,2.453302,23634903
2017-04-07,2.692000,2.728000,2.680000,2.684000,2.427973,13462909
2017-04-10,2.686000,2.690000,2.646000,2.666000,2.411690,11611506
2017-04-11,2.640000,2.650000,2.542000,2.550000,2.306755,27752272
2017-04-12,2.570000,2.580000,2.460000,2.470000,2.234386,25463142
2017-04-13,2.460000,2.466000,2.390000,2.400000,2.171064,30730984
2017-04-18,2.400000,2.414000,2.304000,2.340000,2.116787,28009106
2017-04-19,2.342000,2.434000,2.342000,2.432000,2.200011,29021729
2017-04-20,2.422000,2.508000,2.416000,2.500000,2.261525,28261303
2017-04-21,2.518000,2.536000,2.446000,2.516000,2.275999,27613364
2017-04-24,2.674000,2.738000,2.642000,2.710000,2.451493,63606773
2017-04-25,2.726000,2.800000,2.720000,2.792000,2.525671,35306223
2017-04-26,2.772000,2.794000,2.708000,2.736000,2.475013,27738880
2017-04-27,2.720000,2.738000,2.658000,2.658000,2.404453,20262370
2017-04-28,2.652000,2.710000,2.642000,2.670000,2.415308,17465012
2017-05-02,2.694000,2.718000,2.668000,2.680000,2.424355,13257072
2017-05-03,2.678000,2.736000,2.666000,2.736000,2.475013,17365540
2017-05-04,2.746000,2.862000,2.724000,2.862000,2.588994,43943773
2017-05-05,2.850000,2.930000,2.788000,2.922000,2.643270,39972920
2017-05-08,2.974000,2.980000,2.862000,2.886000,2.610704,32120695
2017-05-09,2.896000,2.918000,2.740000,2.740000,2.478631,49182143
2017-05-10,2.748000,2.788000,2.664000,2.682000,2.426164,34848166
2017-05-11,2.700000,2.742000,2.610000,2.630000,2.379124,33351861
2017-05-12,2.760000,2.880000,2.730000,2.792000,2.525671,74004657
2017-05-15,2.830000,2.866000,2.792000,2.830000,2.560046,30880554
2017-05-16,2.822000,2.858000,2.782000,2.804000,2.536526,28345161
