Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,6.900000,6.920000,6.860000,6.920000,4.650677,1038764
2017-04-04,6.890000,6.920000,6.855000,6.865000,4.613713,859079
2017-04-05,6.895000,6.950000,6.850000,6.890000,4.630516,1396124
2017-04-06,6.880000,6.940000,6.845000,6.905000,4.640596,930333
2017-04-07,6.880000,6.970000,6.870000,6.970000,4.684280,926429
2017-04-10,6.900000,6.935000,6.880000,6.885000,4.627155,882675
2017-04-11,6.870000,6.920000,6.820000,6.875000,4.620434,1297837
2017-04-12,6.820000,6.895000,6.790000,6.820000,4.583470,1294630
2017-04-13,6.795000,6.820000,6.725000,6.755000,4.539787,2405129
2017-04-18,6.770000,6.850000,6.700000,6.700000,4.502824,1268575
2017-04-19,6.715000,6.845000,6.715000,6.790000,4.563309,1477863
2017-04-20,6.790000,6.860000,6.760000,6.820000,4.583470,1084204
2017-04-21,6.780000,6.870000,6.780000,6.850000,4.603632,1422233
2017-04-24,6.810000,6.950000,6.810000,6.940000,4.733216,2871769
2017-04-25,6.940000,6.970000,6.865000,6.950000,4.740036,1884523
2017-04-26,6.920000,7.055000,6.885000,7.055000,4.811649,2393137
2017-04-27,6.960000,7.035000,6.930000,6.960000,4.746856,1134711
2017-04-28,6.960000,7.025000,6.950000,7.025000,4.791189,1085775
2017-05-02,6.985000,7.035000,6.955000,6.985000,4.763907,1118237
2017-05-03,6.960000,6.980000,6.905000,6.945000,4.736627,883908
2017-05-04,6.970000,7.045000,6.920000,7.045000,4.804829,1460956
2017-05-05,7.045000,7.165000,7.005000,7.165000,4.886672,1576060
2017-05-08,7.200000,7.200000,7.070000,7.170000,4.890081,1635595
2017-05-09,7.180000,7.250000,7.070000,7.120000,4.855979,2378480
2017-05-10,7.200000,7.355000,7.190000,7.350000,5.012844,2953396
2017-05-11,7.345000,7.405000,7.295000,7.360000,5.019665,1732155
2017-05-12,7.380000,7.390000,7.300000,7.380000,5.033305,1326506
2017-05-15,7.340000,7.400000,7.320000,7.375000,5.029894,1000337
2017-05-16,7.315000,7.480000,7.315000,7.440000,5.074226,1148355
2017-05-17,7.360000,7.485000,7.250000,7.255000,4.948052,1519643
2017-05-18,7.255000,7.360000,7.130000,7.275000,4.961693,1892601
2017-05-19,7.300000,7.400000,7.275000,7.395000,5.043536,1174501
2017-05-22,7.410000,7.550000,7.380000,7.550000,5.149248,1762860
2017-05-23,7.540000,7.675000,7.515000,7.645000,5.214041,2625514
2017-05-24,7.650000,7.675000,7.545000,7.560000,5.156069,885872
2017-05-25,7.570000,7.600000,7.475000,7.570000,5.162890,841865
2017-05-26,7.520000,7.560000,7.410000,7.535000,5.139018,1501443
2017-05-29,7.495000,7.525000,7.385000,7.390000,5.040125,1661709
2017-05-30,7.360000,7.480000,7.330000,7.330000,4.999204,1752291
2017-05-31,7.330000,7.505000,7.320000,7.350000,5.012844,1867727
2017-06-01,7.325000,7.490000,7.305000,7.465000,5.091277,1172991
2017-06-02,7.500000,7.570000,7.420000,7.440000,5.074226,1161842
2017-06-05,7.440000,7.440000,7.310000,7.350000,5.012844,835895
2017-06-06,7.250000,7.355000,7.250000,7.330000,4.999204,1024558
2017-06-07,7.335000,7.400000,7.280000,7.285000,4.968513,919723
2017-06-08,7.350000,7.475000,7.285000,7.475000,5.098096,1098280
2017-06-09,7.475000,7.585000,7.440000,7.500000,5.115148,1190203
2017-06-12,7.360000,7.470000,7.310000,7.350000,5.012844,1211450
2017-06-13,7.355000,7.430000,7.355000,7.420000,5.060585,948672
2017-06-14,7.415000,7.470000,7.330000,7.330000,4.999204,1256761
2017-06-15,7.305000,7.365000,7.230000,7.285000,4.968513,1145587
2017-06-16,7.380000,7.395000,7.300000,7.395000,5.043536,1127836
2017-06-19,7.400000,7.460000,7.360000,7.440000,5.074226,652022
2017-06-20,7.430000,7.480000,7.285000,7.290000,4.971924,1304199
2017-06-21,7.290000,7.370000,7.250000,7.360000,5.019665,1003548
2017-06-22,7.360000,7.360000,7.260000,7.275000,4.961693,501660
2017-06-23,7.275000,7.335000,7.210000,7.250000,4.944643,934336
2017-06-26,7.285000,7.395000,7.285000,7.305000,4.982154,1209509
2017-06-27,7.320000,7.355000,7.200000,7.250000,4.944643,1683088
2017-06-28,7.230000,7.430000,7.140000,7.430000,5.067407,1848039
2017-06-29,7.435000,7.470000,7.250000,7.250000,4.944643,1509050
2017-06-30,7.305000,7.310000,7.230000,7.265000,4.954872,861040
2017-07-03,7.280000,7.375000,7.255000,7.375000,5.029894,1191038
2017-07-04,7.345000,7.380000,7.310000,7.335000,5.002614,488755
2017-07-05,7.300000,7.320000,7.180000,7.195000,4.907131,2463960
2017-07-06,7.195000,7.315000,7.160000,7.315000,4.988973,1369419
2017-07-07,7.350000,7.350000,7.240000,7.250000,4.944643,666259
2017-07-10,7.285000,7.400000,7.265000,7.400000,5.046945,943996
2017-07-11,7.385000,7.410000,7.320000,7.320000,4.992384,782365
2017-07-12,7.340000,7.405000,7.325000,7.380000,5.033305,791272
2017-07-13,7.380000,7.440000,7.375000,7.430000,5.067407,550807
2017-07-14,7.445000,7.445000,7.335000,7.340000,5.006024,445841
2017-07-17,7.380000,7.390000,7.315000,7.390000,5.040125,808855
2017-07-18,7.335000,7.375000,7.280000,7.285000,4.968513,748975
2017-07-19,7.315000,7.320000,7.220000,7.250000,4.944643,825173
2017-07-20,7.250000,7.380000,7.250000,7.320000,4.992384,931953
2017-07-21,7.340000,7.340000,7.250000,7.250000,4.944643,691012
2017-07-24,7.290000,7.315000,7.250000,7.315000,4.988973,518261
2017-07-25,7.330000,7.400000,7.285000,7.400000,5.046945,832990
