Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,4.698000,4.698000,4.506000,4.516000,4.221140,5488681
2017-04-04,4.526000,4.564000,4.470000,4.550000,4.252921,4794475
2017-04-05,4.564000,4.650000,4.532000,4.546000,4.249182,4109255
2017-04-06,4.510000,4.608000,4.432000,4.602000,4.301526,4510122
2017-04-07,4.548000,4.620000,4.528000,4.580000,4.280962,3474913
2017-04-10,4.540000,4.566000,4.474000,4.506000,4.211793,3004307
2017-04-11,4.460000,4.488000,4.404000,4.446000,4.155711,3734892
2017-04-12,4.452000,4.514000,4.370000,4.398000,4.110845,4114816
2017-04-13,4.360000,4.392000,4.314000,4.362000,4.077196,5136693
2017-04-18,4.372000,4.402000,4.274000,4.276000,3.996810,4951645
2017-04-19,4.294000,4.506000,4.274000,4.506000,4.211793,6575076
2017-04-20,4.490000,4.610000,4.464000,4.572000,4.273484,4195370
2017-04-21,4.550000,4.626000,4.512000,4.584000,4.284701,5493032
2017-04-24,4.770000,4.900000,4.740000,4.900000,4.580068,15242064
2017-04-25,4.922000,4.990000,4.888000,4.972000,4.647367,7001391
2017-04-26,4.950000,5.000000,4.884000,5.000000,4.673539,6628385
2017-04-27,4.954000,4.996000,4.834000,4.864000,4.546419,4997388
2017-04-28,4.856000,5.040000,4.844000,5.020000,4.692234,6785649
2017-05-02,5.040000,5.090000,4.946000,5.015000,4.687560,3170840
2017-05-03,5.000000,5.020000,4.906000,4.964000,4.639889,3799711
2017-05-04,5.000000,5.150000,4.964000,5.145000,4.809072,5370996
2017-05-05,5.140000,5.245000,5.095000,5.220000,4.879175,4536983
2017-05-08,5.300000,5.330000,5.050000,5.090000,4.757663,7142608
2017-05-09,5.115000,5.190000,5.010000,5.050000,4.720274,4726025
2017-05-10,4.990000,5.005000,4.702000,4.764000,4.452948,12368124
2017-05-11,4.756000,4.792000,4.638000,4.688000,4.381910,8887774
2017-05-12,4.730000,4.826000,4.686000,4.730000,4.421168,5914599
2017-05-15,4.750000,4.860000,4.742000,4.860000,4.542680,4917362
2017-05-16,4.830000,4.904000,4.750000,4.780000,4.467904,5093980
2017-05-17,4.730000,4.762000,4.618000,4.670000,4.365086,6382596
2017-05-18,4.622000,4.648000,4.438000,4.616000,4.314612,8390463
2017-05-19,4.602000,4.686000,4.582000,4.686000,4.380041,6355787
2017-05-22,4.698000,4.718000,4.592000,4.604000,4.341018,4305052
2017-05-23,4.600000,4.684000,4.562000,4.606000,4.342904,5452395
2017-05-24,4.612000,4.690000,4.582000,4.670000,4.403248,4754704
2017-05-25,4.720000,4.750000,4.614000,4.664000,4.397591,4217104
2017-05-26,4.624000,4.636000,4.524000,4.610000,4.346675,3853161
2017-05-29,4.586000,4.606000,4.470000,4.470000,4.214672,3299470
2017-05-30,4.450000,4.550000,4.432000,4.472000,4.216558,3743418
2017-05-31,4.472000,4.476000,4.320000,4.360000,4.110956,4702332
2017-06-01,4.362000,4.452000,4.292000,4.452000,4.197700,3356151
2017-06-02,4.480000,4.518000,4.360000,4.396000,4.144899,3689133
2017-06-05,4.390000,4.402000,4.316000,4.316000,4.069468,2080286
2017-06-06,4.300000,4.300000,4.210000,4.250000,4.007238,3572318
2017-06-07,4.250000,4.410000,4.220000,4.258000,4.014781,4547244
2017-06-08,4.258000,4.420000,4.234000,4.416000,4.163756,4259462
2017-06-09,4.400000,4.484000,4.322000,4.402000,4.150556,4530730
2017-06-12,4.400000,4.454000,4.310000,4.310000,4.063811,3139399
2017-06-13,4.320000,4.470000,4.290000,4.418000,4.165642,4059716
2017-06-14,4.420000,4.482000,4.370000,4.374000,4.124156,4215299
2017-06-15,4.366000,4.380000,4.288000,4.316000,4.069468,4052549
2017-06-16,4.350000,4.398000,4.148000,4.176000,3.937466,7746865
2017-06-19,4.206000,4.266000,4.154000,4.202000,3.961980,4423162
2017-06-20,4.198000,4.222000,4.092000,4.094000,3.860149,3479288
2017-06-21,4.096000,4.278000,4.030000,4.278000,4.033639,6114409
2017-06-22,4.276000,4.310000,4.202000,4.250000,4.007238,2195116
2017-06-23,4.254000,4.302000,4.210000,4.260000,4.016667,1334734
2017-06-26,4.310000,4.424000,4.310000,4.372000,4.122270,4657144
2017-06-27,4.400000,4.434000,4.358000,4.398000,4.146785,3736065
2017-06-28,4.360000,4.456000,4.326000,4.438000,4.184500,4795956
2017-06-29,4.474000,4.562000,4.410000,4.414000,4.161871,7045063
2017-06-30,4.460000,4.530000,4.354000,4.366000,4.116612,4144863
2017-07-03,4.420000,4.650000,4.400000,4.648000,4.382504,8458539
2017-07-04,4.628000,4.820000,4.622000,4.806000,4.531480,7179460
2017-07-05,4.800000,4.832000,4.644000,4.690000,4.422105,4541696
2017-07-06,4.702000,4.714000,4.614000,4.702000,4.433420,4389356
2017-07-07,4.702000,4.732000,4.624000,4.688000,4.420220,1741168
2017-07-10,4.712000,4.768000,4.694000,4.752000,4.480564,2926721
2017-07-11,4.760000,4.876000,4.752000,4.838000,4.561652,6870050
2017-07-12,4.840000,4.970000,4.840000,4.940000,4.657825,7204892
2017-07-13,4.948000,4.966000,4.880000,4.954000,4.671026,5631047
2017-07-14,4.950000,4.976000,4.904000,4.950000,4.667254,4253073
2017-07-17,4.966000,4.980000,4.918000,4.980000,4.695540,4147690
2017-07-18,4.922000,4.990000,4.796000,4.818000,4.542794,4861081
2017-07-19,4.832000,4.868000,4.782000,4.850000,4.572966,2683052
2017-07-20,4.858000,4.932000,4.826000,4.850000,4.572966,3094078
2017-07-21,4.864000,4.864000,4.686000,4.720000,4.450392,5479344
2017-07-24,4.666000,4.730000,4.594000,4.688000,4.420220,5913555
2017-07-25,4.700000,4.742000,4.648000,4.668000,4.401362,5545951
2017-07-26,4.666000,4.668000,4.580000,4.612000,4.348561,4003794
2017-07-27,4.582000,4.686000,4.582000,4.680000,4.412677,3512452
2017-07-28,4.680000,4.746000,4.636000,4.704000,4.435306,2989382
2017-07-31,4.690000,4.718000,4.648000,4.652000,4.386276,2070527
2017-08-01,4.650000,4.690000,4.636000,4.680000,4.412677,2198382
2017-08-02,4.680000,4.702000,4.642000,4.644000,4.378733,1447594
2017-08-03,4.664000,4.736000,4.630000,4.734000,4.463593,2875120
2017-08-04,4.868000,5.020000,4.836000,5.020000,4.733256,14712558
2017-08-07,5.025000,5.040000,4.948000,4.952000,4.669140,4388551
2017-08-08,4.950000,4.988000,4.942000,4.950000,4.667254,3111745
2017-08-09,4.916000,4.942000,4.812000,4.916000,4.635196,6151377
2017-08-10,4.916000,4.922000,4.802000,4.806000,4.531480,2629028
2017-08-11,4.790000,4.790000,4.730000,4.742000,4.471136,3080148
2017-08-14,4.790000,4.860000,4.764000,4.806000,4.531480,2747650
2017-08-16,4.856000,4.942000,4.838000,4.900000,4.620110,3116175
2017-08-17,4.882000,4.920000,4.856000,4.878000,4.599367,3089737
2017-08-18,4.814000,4.918000,4.804000,4.916000,4.635196,3053999
2017-08-21,4.888000,4.916000,4.800000,4.824000,4.548451,2475810
2017-08-22,4.880000,4.880000,4.746000,4.760000,4.488107,3222422
2017-08-23,4.746000,4.768000,4.660000,4.700000,4.431534,6003463
2017-08-24,4.694000,4.756000,4.670000,4.746000,4.474906,4118552
2017-08-25,4.746000,4.818000,4.734000,4.742000,4.471136,2122299
2017-08-28,4.746000,4.798000,4.728000,4.766000,4.493764,1240829
2017-08-29,4.710000,4.720000,4.602000,4.642000,4.376847,3093785
2017-08-30,4.698000,4.698000,4.582000,4.692000,4.423991,3500725
2017-08-31,4.692000,4.746000,4.676000,4.732000,4.461706,2708880
2017-09-01,4.750000,4.814000,4.718000,4.796000,4.522051,2607631
2017-09-04,4.750000,4.762000,4.704000,4.724000,4.454163,1875670
2017-09-05,4.702000,4.740000,4.630000,4.650000,4.384391,2398069
2017-09-06,4.626000,4.658000,4.580000,4.606000,4.342904,3907268
2017-09-07,4.652000,4.668000,4.556000,4.570000,4.308960,3026847
2017-09-08,4.560000,4.624000,4.514000,4.530000,4.271245,4639380
2017-09-11,4.572000,4.676000,4.566000,4.660000,4.393819,4438849
2017-09-12,4.686000,4.806000,4.640000,4.804000,4.529593,7127419
2017-09-13,4.804000,4.856000,4.746000,4.806000,4.531480,6373411
2017-09-14,4.804000,4.804000,4.708000,4.708000,4.439077,6804508
2017-09-15,4.732000,4.732000,4.588000,4.588000,4.325932,8422534
2017-09-18,4.640000,4.708000,4.624000,4.630000,4.365533,5151314
2017-09-19,4.636000,4.720000,4.630000,4.720000,4.450392,5873310
2017-09-20,4.710000,4.740000,4.636000,4.690000,4.422105,4038712
2017-09-21,4.700000,4.828000,4.672000,4.686000,4.418334,9907173
2017-09-22,4.672000,4.796000,4.668000,4.784000,4.510736,6134843
2017-09-25,4.780000,4.780000,4.678000,4.678000,4.410791,5700792
2017-09-26,4.680000,4.828000,4.680000,4.816000,4.540908,6685719
2017-09-27,4.824000,4.980000,4.808000,4.958000,4.674798,6897474
2017-09-28,4.970000,5.125000,4.958000,5.040000,4.752113,9022491
2017-09-29,5.090000,5.090000,5.015000,5.060000,4.770971,3511867
2017-10-02,5.100000,5.160000,5.065000,5.145000,4.851116,6762989
2017-10-03,5.145000,5.180000,5.090000,5.130000,4.836973,2844984
2017-10-04,5.095000,5.100000,4.942000,4.978000,4.693655,7705762
2017-10-05,4.970000,4.984000,4.826000,4.894000,4.614453,5813400
2017-10-06,4.878000,4.878000,4.702000,4.720000,4.450392,8873391
2017-10-09,4.734000,4.782000,4.550000,4.570000,4.308960,8789384
2017-10-10,4.570000,4.588000,4.450000,4.472000,4.216558,7671395
2017-10-11,4.550000,4.634000,4.432000,4.628000,4.363647,11809204
2017-10-12,4.628000,4.648000,4.468000,4.492000,4.235415,7298083
2017-10-13,4.498000,4.538000,4.382000,4.394000,4.143013,8676430
2017-10-16,4.390000,4.448000,4.300000,4.442000,4.188272,5111098
2017-10-17,4.432000,4.464000,4.356000,4.392000,4.141128,4912761
2017-10-18,4.410000,4.410000,4.330000,4.380000,4.129813,4273729
2017-10-19,4.358000,4.394000,4.212000,4.240000,3.997809,8414404
2017-10-20,4.260000,4.284000,4.228000,4.254000,4.011010,4642945
2017-10-23,4.264000,4.356000,4.204000,4.316000,4.069468,5534063
2017-10-24,4.338000,4.386000,4.288000,4.296000,4.050611,5489844
2017-10-25,4.284000,4.320000,4.232000,4.250000,4.007238,4433433
2017-10-26,4.264000,4.264000,4.170000,4.248000,4.005353,6141736
2017-10-27,4.274000,4.274000,4.182000,4.182000,3.943123,5888468
2017-10-30,4.208000,4.280000,4.180000,4.204000,3.963866,3986268
2017-10-31,4.214000,4.218000,4.152000,4.184000,3.945009,3145795
2017-11-01,4.232000,4.232000,4.156000,4.172000,3.933694,2777715
2017-11-02,4.186000,4.326000,4.170000,4.324000,4.077011,6196622
2017-11-03,4.350000,4.350000,4.200000,4.214000,3.973295,5842412
2017-11-06,4.214000,4.214000,4.122000,4.146000,3.909179,4024736
2017-11-07,4.170000,4.192000,4.068000,4.068000,3.835634,5375746
2017-11-08,4.030000,4.048000,3.808000,3.890000,3.667802,14712054
2017-11-09,4.250000,4.348000,4.172000,4.276000,4.031753,19333780
2017-11-10,4.300000,4.346000,4.182000,4.230000,3.988381,6858962
2017-11-13,4.230000,4.280000,4.056000,4.268000,4.024210,7126724
2017-11-14,4.270000,4.280000,4.120000,4.174000,3.935579,4516612
2017-11-15,4.144000,4.290000,4.076000,4.262000,4.018554,5393474
2017-11-16,4.288000,4.288000,4.122000,4.146000,3.909179,5437285
2017-11-17,4.120000,4.196000,4.060000,4.120000,3.884664,6739154
2017-11-20,4.104000,4.210000,4.064000,4.188000,3.948780,4490639
2017-11-21,4.188000,4.246000,4.102000,4.130000,3.894093,4342038
2017-11-22,4.126000,4.154000,4.094000,4.106000,3.871464,3261205
2017-11-23,4.102000,4.146000,4.090000,4.130000,3.894093,1946164
2017-11-24,4.160000,4.420000,4.140000,4.372000,4.122270,12769323
2017-11-27,4.350000,4.382000,4.228000,4.228000,3.986496,4683986
2017-11-28,4.228000,4.256000,4.174000,4.240000,3.997809,2946908
2017-11-29,4.290000,4.468000,4.250000,4.424000,4.171299,8924479
2017-11-30,4.508000,4.640000,4.458000,4.596000,4.333475,13144684
2017-12-01,4.600000,4.608000,4.460000,4.460000,4.205243,6016328
2017-12-04,4.520000,4.616000,4.512000,4.580000,4.318388,5414041
2017-12-05,4.580000,4.608000,4.516000,4.556000,4.295760,2298383
2017-12-06,4.514000,4.580000,4.468000,4.500000,4.242959,2432189
2017-12-07,4.520000,4.646000,4.498000,4.646000,4.380619,5510930
2017-12-08,4.660000,4.790000,4.656000,4.708000,4.439077,6526061
2017-12-11,4.750000,4.754000,4.648000,4.702000,4.433420,3162548
2017-12-12,4.718000,4.718000,4.520000,4.538000,4.278788,6603682
2017-12-13,4.510000,4.552000,4.244000,4.252000,4.009124,12095709
2017-12-14,4.258000,4.316000,4.164000,4.168000,3.929922,8368253
2017-12-15,4.114000,4.248000,4.110000,4.146000,3.909179,6579277
2017-12-18,4.208000,4.238000,4.100000,4.156000,3.918608,6161512
2017-12-19,4.160000,4.350000,4.136000,4.294000,4.048726,12518177
2017-12-20,4.310000,4.334000,4.232000,4.270000,4.026096,3832867
2017-12-21,4.250000,4.316000,4.182000,4.274000,4.029868,5048162
2017-12-22,4.250000,4.262000,4.190000,4.190000,3.950666,2872023
2017-12-27,4.170000,4.246000,4.170000,4.212000,3.971409,3351911
2017-12-28,4.234000,4.380000,4.198000,4.328000,4.080783,6629660
2017-12-29,4.358000,4.358000,4.192000,4.210000,3.969524,3708776
2018-01-02,4.212000,4.264000,4.156000,4.160000,3.922379,4682237
2018-01-03,4.180000,4.180000,4.080000,4.130000,3.894093,3685460
2018-01-04,4.122000,4.262000,4.112000,4.242000,3.999696,4763138
2018-01-05,4.240000,4.288000,4.216000,4.252000,4.009124,4190754
2018-01-08,4.272000,4.288000,4.224000,4.246000,4.003467,2611800
2018-01-09,4.244000,4.350000,4.234000,4.320000,4.073240,4596895
2018-01-10,4.320000,4.520000,4.320000,4.492000,4.235415,9811909
2018-01-11,4.504000,4.572000,4.428000,4.514000,4.256159,6381201
2018-01-12,4.550000,4.598000,4.524000,4.560000,4.299531,4679014
2018-01-15,4.572000,4.612000,4.528000,4.588000,4.325932,2957475
2018-01-16,4.570000,4.622000,4.504000,4.510000,4.252388,3362350
2018-01-17,4.490000,4.490000,4.410000,4.422000,4.169414,5012518
2018-01-18,4.422000,4.436000,4.310000,4.402000,4.150556,7203348
2018-01-19,4.410000,4.486000,4.362000,4.460000,4.205243,6321484
2018-01-22,4.426000,4.596000,4.390000,4.580000,4.318388,5292045
2018-01-23,4.600000,4.676000,4.570000,4.626000,4.361761,6314128
2018-01-24,4.656000,4.800000,4.642000,4.720000,4.450392,9741765
2018-01-25,4.700000,4.818000,4.672000,4.814000,4.539022,7639544
2018-01-26,4.792000,4.832000,4.760000,4.810000,4.535251,3965187
2018-01-29,4.802000,4.889000,4.789000,4.845000,4.568252,6177075
2018-01-30,4.780000,4.814000,4.659000,4.659000,4.392876,6787379
2018-01-31,4.645000,4.714000,4.608000,4.697000,4.428706,4551182
2018-02-01,4.730000,4.809000,4.661000,4.661000,4.394762,4525591
2018-02-02,4.685000,4.750000,4.646000,4.661000,4.394762,6146500
2018-02-05,4.600000,4.681000,4.531000,4.534000,4.275017,5046787
2018-02-06,4.400000,4.684000,4.332000,4.551000,4.291046,10178852
2018-02-07,4.601000,4.717000,4.470000,4.710000,4.440963,7291232
2018-02-08,4.704000,4.792000,4.636000,4.688000,4.420220,6086209
2018-02-09,4.652000,4.793000,4.583000,4.692000,4.423991,8242507
2018-02-12,4.748000,4.776000,4.573000,4.608000,4.344789,4984451
2018-02-13,4.580000,4.603000,4.486000,4.547000,4.287273,5102474
2018-02-14,4.610000,4.800000,4.540000,4.783000,4.509793,7803147
2018-02-15,4.795000,4.849000,4.736000,4.792000,4.518279,6472580
2018-02-16,4.820000,4.849000,4.729000,4.804000,4.529593,3900861
2018-02-19,4.830000,4.859000,4.765000,4.772000,4.499422,3198451
2018-02-20,4.789000,4.820000,4.748000,4.766000,4.493764,2540598
2018-02-21,4.778000,4.804000,4.749000,4.780000,4.506965,2574382
2018-02-22,4.754000,4.798000,4.670000,4.685000,4.417391,2754019
2018-02-23,4.681000,4.863000,4.680000,4.863000,4.585223,5213514
2018-02-26,4.880000,4.923000,4.852000,4.864000,4.586166,3580236
2018-02-27,4.880000,4.913000,4.859000,4.873000,4.594653,5423277
2018-02-28,4.870000,4.929000,4.854000,4.868000,4.589938,3976829
2018-03-01,4.857000,4.934000,4.809000,4.926000,4.644625,5599281
2018-03-02,4.861000,4.900000,4.855000,4.885000,4.605968,6345426
2018-03-05,4.764000,4.803000,4.481000,4.513000,4.255216,16417029
2018-03-06,4.580000,4.660000,4.573000,4.610000,4.346675,6289761
2018-03-07,4.600000,4.700000,4.589000,4.698000,4.429648,3251555
2018-03-08,4.680000,4.775000,4.641000,4.762000,4.489993,4825796
2018-03-09,4.731000,4.779000,4.615000,4.659000,4.392876,3914678
2018-03-12,4.677000,4.690000,4.602000,4.613000,4.349504,3044799
2018-03-13,4.619000,4.704000,4.618000,4.699000,4.430592,3820052
2018-03-14,4.685000,4.756000,4.576000,4.593000,4.330646,5267946
2018-03-15,4.600000,4.631000,4.546000,4.602000,4.339133,4775452
2018-03-16,4.615000,4.683000,4.599000,4.650000,4.384391,6747095
2018-03-19,4.650000,4.720000,4.636000,4.656000,4.390048,3864650
2018-03-20,4.668000,4.713000,4.639000,4.672000,4.405134,2224916
2018-03-21,4.696000,4.707000,4.605000,4.640000,4.374961,2715966
2018-03-22,4.644000,4.694000,4.504000,4.550000,4.290103,5621542
2018-03-23,4.502000,4.571000,4.434000,4.563000,4.302360,4118717
2018-03-26,4.563000,4.583000,4.474000,4.523000,4.264644,2747889
2018-03-27,4.576000,4.596000,4.525000,4.554000,4.293874,2508617
2018-03-28,4.514000,4.562000,4.468000,4.530000,4.271245,2763500
2018-03-29,4.549000,4.578000,4.514000,4.530000,4.271245,2066157
2018-04-03,4.521000,4.550000,4.466000,4.516000,4.258044,2294968
2018-04-04,4.520000,4.526000,4.444000,4.520000,4.261816,3134925
2018-04-05,4.576000,4.695000,4.567000,4.695000,4.426820,5130820
2018-04-06,4.683000,4.699000,4.626000,4.628000,4.363647,2599307
2018-04-09,4.670000,4.731000,4.662000,4.698000,4.429648,3281696
2018-04-10,4.730000,4.730000,4.635000,4.712000,4.442849,2658530
2018-04-11,4.682000,4.730000,4.629000,4.650000,4.384391,3027825
2018-04-12,4.644000,4.742000,4.644000,4.708000,4.439077,2524105
2018-04-13,4.711000,4.795000,4.700000,4.730000,4.459821,3152718
2018-04-16,4.739000,4.812000,4.739000,4.778000,4.505079,2418485
2018-04-17,4.805000,4.936000,4.805000,4.880000,4.601253,6487447
2018-04-18,4.880000,4.893000,4.769000,4.822000,4.546566,4809416
2018-04-19,4.828000,4.863000,4.811000,4.835000,4.558823,2668183
2018-04-20,4.864000,4.894000,4.834000,4.887000,4.607853,3234139
2018-04-23,4.865000,4.920000,4.853000,4.887000,4.607853,3937319
2018-04-24,4.906000,4.919000,4.740000,4.798000,4.523936,6907447
2018-04-25,4.797000,4.822000,4.714000,4.738000,4.467364,3147626
