Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,6.370000,6.390000,6.345000,6.370000,6.163894,1697598
2017-06-05,6.390000,6.405000,6.340000,6.340000,6.134864,900945
2017-06-06,6.325000,6.350000,6.290000,6.350000,6.144541,1583807
2017-06-07,6.350000,6.360000,6.280000,6.280000,6.076806,1260340
2017-06-08,6.305000,6.390000,6.280000,6.340000,6.134864,1434733
2017-06-09,6.250000,6.285000,6.150000,6.200000,5.999394,4179821
2017-06-12,6.150000,6.200000,6.120000,6.140000,5.941336,1914581
2017-06-13,6.135000,6.180000,6.085000,6.090000,5.892954,1742897
2017-06-14,6.120000,6.210000,6.065000,6.065000,5.868762,2303781
2017-06-15,6.100000,6.195000,6.065000,6.190000,5.989717,2232089
2017-06-16,6.220000,6.250000,6.145000,6.150000,5.951012,3953882
2017-06-19,6.220000,6.320000,6.220000,6.305000,6.100996,1730911
2017-06-20,6.330000,6.335000,6.275000,6.275000,6.071968,1452413
2017-06-21,6.255000,6.330000,6.210000,6.330000,6.125187,1456004
2017-06-22,6.275000,6.410000,6.230000,6.245000,6.042938,1677376
2017-06-23,6.230000,6.260000,6.140000,6.245000,6.042938,1589698
2017-06-26,6.235000,6.340000,6.235000,6.260000,6.057453,1107382
2017-06-27,6.250000,6.285000,6.215000,6.220000,6.018747,1027875
2017-06-28,6.180000,6.290000,6.160000,6.255000,6.052615,1718301
2017-06-29,6.275000,6.285000,6.140000,6.140000,5.941336,2034197
2017-06-30,6.170000,6.245000,6.140000,6.170000,5.970365,1540260
2017-07-03,6.190000,6.240000,6.180000,6.230000,6.028424,1129988
2017-07-04,6.220000,6.220000,6.130000,6.140000,5.941336,870167
2017-07-05,6.125000,6.200000,6.095000,6.170000,5.970365,1215583
2017-07-06,6.145000,6.170000,6.040000,6.120000,5.921983,1853591
2017-07-07,6.125000,6.170000,6.015000,6.145000,5.946174,1670963
2017-07-10,6.160000,6.200000,6.100000,6.185000,5.984879,1363300
2017-07-11,6.170000,6.190000,6.090000,6.110000,5.912306,1330538
2017-07-12,6.105000,6.180000,6.075000,6.165000,5.965527,1285648
2017-07-13,6.165000,6.195000,6.090000,6.160000,5.960688,2162429
2017-07-14,6.160000,6.220000,6.130000,6.200000,5.999394,963059
2017-07-17,6.230000,6.250000,6.175000,6.230000,6.028424,1365730
2017-07-18,6.235000,6.250000,6.175000,6.200000,5.999394,979354
2017-07-19,6.180000,6.215000,6.165000,6.195000,5.994556,598087
2017-07-20,6.210000,6.235000,6.140000,6.210000,6.009071,914911
2017-07-21,6.200000,6.220000,6.130000,6.130000,5.931659,951337
2017-07-24,6.160000,6.190000,6.100000,6.100000,5.902629,1042223
2017-07-25,6.140000,6.200000,6.110000,6.175000,5.975203,831247
2017-07-26,6.195000,6.315000,6.185000,6.275000,6.071968,2496239
2017-07-27,6.275000,6.360000,6.275000,6.300000,6.096159,1346751
2017-07-28,6.280000,6.295000,6.170000,6.200000,5.999394,1321662
2017-07-31,6.230000,6.310000,6.185000,6.255000,6.052615,1409100
2017-08-01,6.245000,6.275000,6.205000,6.270000,6.067130,1185872
2017-08-02,6.270000,6.295000,6.210000,6.290000,6.086482,1340421
2017-08-03,6.300000,6.310000,5.815000,6.175000,5.975203,9923308
2017-08-04,6.170000,6.170000,5.965000,6.115000,5.917145,5662215
2017-08-07,6.105000,6.105000,5.975000,6.080000,5.883277,4141839
2017-08-08,6.055000,6.070000,6.020000,6.050000,5.854248,1764498
2017-08-09,6.020000,6.040000,5.980000,5.980000,5.786512,1965194
2017-08-10,6.010000,6.120000,5.965000,6.100000,5.902629,3201455
2017-08-11,6.070000,6.110000,5.985000,5.990000,5.796188,2016845
2017-08-14,6.050000,6.065000,6.015000,6.050000,5.854248,1367615
2017-08-16,6.060000,6.175000,6.040000,6.130000,5.931659,1875331
2017-08-17,6.155000,6.200000,6.115000,6.150000,5.951012,1197100
2017-08-18,6.090000,6.130000,6.075000,6.090000,5.892954,1826185
2017-08-21,6.050000,6.095000,6.015000,6.065000,5.868762,1082109
2017-08-22,6.100000,6.140000,6.085000,6.135000,5.936498,1173108
2017-08-23,6.120000,6.140000,6.075000,6.095000,5.897792,1253171
2017-08-24,6.110000,6.150000,6.090000,6.115000,5.917145,1141437
2017-08-25,6.105000,6.135000,6.075000,6.085000,5.888115,692283
2017-08-28,6.080000,6.085000,6.030000,6.030000,5.834895,874575
2017-08-29,6.025000,6.030000,5.910000,5.995000,5.801027,2107320
