Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,6.800000,6.855000,6.755000,6.780000,5.836668,1821816
2017-06-05,6.745000,6.775000,6.670000,6.685000,5.754885,857551
2017-06-06,6.645000,6.840000,6.645000,6.840000,5.888320,1623704
2017-06-07,6.840000,6.930000,6.820000,6.925000,5.961493,2803808
2017-06-08,6.930000,7.150000,6.900000,7.150000,6.155188,3520150
2017-06-09,7.125000,7.210000,7.080000,7.100000,6.112144,2325569
2017-06-12,7.100000,7.175000,7.055000,7.055000,6.073405,1720213
2017-06-13,7.080000,7.190000,7.060000,7.170000,6.172405,1836918
2017-06-14,7.160000,7.250000,7.105000,7.160000,6.163796,2245553
2017-06-15,7.140000,7.140000,7.010000,7.010000,6.034667,1843445
2017-06-16,7.085000,7.090000,6.940000,7.050000,6.069101,2246270
2017-06-19,7.100000,7.190000,7.085000,7.155000,6.159492,1237025
2017-06-20,7.165000,7.200000,7.070000,7.070000,6.086318,1253710
2017-06-21,7.055000,7.055000,6.935000,7.005000,6.030362,1760770
2017-06-22,7.000000,7.005000,6.845000,6.890000,5.931363,2634505
2017-06-23,6.900000,6.925000,6.785000,6.835000,5.884016,1727362
2017-06-26,6.850000,6.900000,6.785000,6.835000,5.884016,1653074
2017-06-27,6.825000,6.830000,6.740000,6.800000,5.853885,1459321
2017-06-28,6.755000,7.105000,6.700000,7.055000,6.073405,3777893
2017-06-29,7.100000,7.115000,6.965000,7.030000,6.051883,3176819
2017-06-30,7.060000,7.125000,6.860000,6.890000,5.931363,2968004
2017-07-03,6.870000,7.145000,6.870000,7.145000,6.150884,2375031
2017-07-04,7.070000,7.265000,7.070000,7.245000,6.236970,2718690
2017-07-05,7.205000,7.390000,7.190000,7.330000,6.310143,3228470
2017-07-06,7.330000,7.480000,7.290000,7.480000,6.439273,2690430
2017-07-07,7.480000,7.495000,7.260000,7.270000,6.258492,2989285
2017-07-10,7.330000,7.390000,7.235000,7.300000,6.284317,1962879
2017-07-11,7.305000,7.335000,7.180000,7.180000,6.181013,1825504
2017-07-12,7.210000,7.330000,7.190000,7.330000,6.310143,1316398
2017-07-13,7.280000,7.325000,7.155000,7.180000,6.181013,3118560
2017-07-14,7.230000,7.250000,7.165000,7.205000,6.202535,1196170
2017-07-17,7.220000,7.290000,7.160000,7.290000,6.275709,1573825
2017-07-18,7.250000,7.310000,7.190000,7.235000,6.228361,1629912
2017-07-19,7.245000,7.305000,7.165000,7.220000,6.215448,1842267
2017-07-20,7.200000,7.255000,7.190000,7.200000,6.198231,1103593
2017-07-21,7.210000,7.220000,7.110000,7.145000,6.150884,1176652
2017-07-24,7.160000,7.280000,7.145000,7.270000,6.258492,1347527
2017-07-25,7.280000,7.470000,7.280000,7.355000,6.331666,2216564
2017-07-26,7.350000,7.380000,7.320000,7.350000,6.327361,667810
2017-07-27,7.305000,7.470000,7.295000,7.470000,6.430665,1210453
2017-07-28,7.420000,7.450000,7.360000,7.430000,6.396230,880276
2017-07-31,7.415000,7.540000,7.395000,7.415000,6.383317,1635128
2017-08-01,7.420000,7.530000,7.360000,7.435000,6.400534,2126217
2017-08-02,7.435000,7.510000,7.415000,7.420000,6.387621,1739803
2017-08-03,7.425000,7.470000,7.335000,7.355000,6.331666,1752617
2017-08-04,7.375000,7.475000,7.270000,7.475000,6.434968,1900336
2017-08-07,7.460000,7.600000,7.450000,7.555000,6.503838,1739188
2017-08-08,7.555000,7.580000,7.515000,7.575000,6.521055,1115707
2017-08-09,7.530000,7.555000,7.420000,7.520000,6.473708,1193303
2017-08-10,7.495000,7.510000,7.380000,7.380000,6.353187,1013975
2017-08-11,7.350000,7.395000,7.260000,7.260000,6.249883,1057522
2017-08-14,7.370000,7.395000,7.315000,7.370000,6.344578,822935
2017-08-16,7.405000,7.520000,7.345000,7.500000,6.456491,1408384
2017-08-17,7.435000,7.500000,7.365000,7.365000,6.340273,874805
2017-08-18,7.295000,7.400000,7.275000,7.375000,6.348882,1231791
2017-08-21,7.370000,7.400000,7.265000,7.265000,6.254187,902775
2017-08-22,7.340000,7.355000,7.225000,7.240000,6.232665,886521
2017-08-23,7.225000,7.255000,7.060000,7.090000,6.103536,1653108
2017-08-24,7.120000,7.140000,7.090000,7.100000,6.112144,1152544
2017-08-25,7.080000,7.155000,7.080000,7.100000,6.112144,603194
2017-08-28,7.110000,7.140000,7.070000,7.070000,6.086318,423239
2017-08-29,7.050000,7.050000,6.940000,6.960000,5.991623,1931785
2017-08-30,6.990000,7.125000,6.980000,7.120000,6.129362,990211
2017-08-31,7.185000,7.295000,7.135000,7.215000,6.211143,1656906
2017-09-01,7.255000,7.255000,7.185000,7.200000,6.198231,954586
2017-09-04,7.180000,7.190000,7.090000,7.090000,6.103536,1095025
2017-09-05,7.090000,7.150000,6.975000,6.975000,6.004536,1460582
2017-09-06,6.960000,6.995000,6.890000,6.895000,5.935667,1685536
2017-09-07,6.920000,6.955000,6.835000,6.865000,5.909841,2898177
2017-09-08,6.870000,6.960000,6.860000,6.950000,5.983015,1634980
2017-09-11,6.970000,7.215000,6.970000,7.205000,6.202535,2395140
2017-09-12,7.225000,7.330000,7.195000,7.320000,6.301535,2361286
2017-09-13,7.300000,7.395000,7.285000,7.335000,6.314448,1405607
2017-09-14,7.300000,7.375000,7.290000,7.295000,6.280014,1374556
2017-09-15,7.300000,7.360000,7.260000,7.325000,6.305839,1651810
2017-09-18,7.345000,7.400000,7.305000,7.385000,6.357491,1126119
2017-09-19,7.360000,7.400000,7.350000,7.395000,6.366100,833534
2017-09-20,7.370000,7.475000,7.370000,7.475000,6.434968,2098893
2017-09-21,7.445000,7.550000,7.445000,7.530000,6.482316,2011545
2017-09-22,7.505000,7.550000,7.475000,7.485000,6.443578,1223496
2017-09-25,7.495000,7.515000,7.365000,7.375000,6.348882,2250625
2017-09-26,7.355000,7.475000,7.335000,7.470000,6.430665,1293920
2017-09-27,7.500000,7.540000,7.430000,7.450000,6.413447,1991275
2017-09-28,7.470000,7.480000,7.400000,7.440000,6.404839,1310962
2017-09-29,7.480000,7.500000,7.415000,7.500000,6.456491,1398817
2017-10-02,7.520000,7.540000,7.420000,7.460000,6.422056,1777272
2017-10-03,7.500000,7.500000,7.410000,7.445000,6.409143,1359714
2017-10-04,7.470000,7.470000,7.275000,7.285000,6.271405,1897849
2017-10-05,7.290000,7.295000,7.175000,7.250000,6.241274,2645052
2017-10-06,7.250000,7.310000,7.160000,7.210000,6.206840,2269990
2017-10-09,7.195000,7.250000,7.125000,7.200000,6.198231,2254350
2017-10-10,7.170000,7.240000,7.160000,7.190000,6.189622,2227067
2017-10-11,7.210000,7.325000,7.170000,7.325000,6.305839,2136844
2017-10-12,7.315000,7.315000,7.235000,7.280000,6.267100,1065036
2017-10-13,7.325000,7.410000,7.100000,7.355000,6.331666,1888765
2017-10-16,7.380000,7.455000,7.325000,7.425000,6.391925,1535948
2017-10-17,7.430000,7.460000,7.280000,7.280000,6.267100,1638662
2017-10-18,7.280000,7.350000,7.255000,7.325000,6.305839,653510
2017-10-19,7.360000,7.360000,7.155000,7.250000,6.241274,1324562
2017-10-20,7.245000,7.340000,7.245000,7.320000,6.301535,1461630
2017-10-23,7.320000,7.370000,7.245000,7.340000,6.318752,1035421
2017-10-24,7.340000,7.800000,7.325000,7.785000,6.701837,6603368
2017-10-25,7.805000,8.035000,7.700000,7.745000,6.667403,5913902
2017-10-26,7.755000,8.055000,7.705000,7.970000,6.861096,5565313
