Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,2.894000,2.928000,2.880000,2.880000,2.462063,1655019
2017-06-05,2.910000,2.910000,2.856000,2.862000,2.446675,1463611
2017-06-06,2.874000,2.910000,2.856000,2.904000,2.482580,2489578
2017-06-07,2.898000,2.924000,2.882000,2.900000,2.479160,1609438
2017-06-08,2.884000,2.944000,2.876000,2.926000,2.501387,2844518
2017-06-09,2.926000,2.970000,2.898000,2.910000,2.487709,3369536
2017-06-12,2.906000,3.004000,2.906000,2.964000,2.533873,4002112
2017-06-13,2.978000,3.002000,2.942000,2.944000,2.516775,2689244
2017-06-14,2.984000,2.994000,2.950000,2.974000,2.542422,1784218
2017-06-15,2.982000,2.986000,2.954000,2.958000,2.528744,2712506
2017-06-16,2.980000,2.980000,2.936000,2.976000,2.544131,9324976
2017-06-19,2.920000,2.946000,2.902000,2.902000,2.558236,1723903
2017-06-20,2.930000,2.962000,2.900000,2.916000,2.570578,2359753
2017-06-21,2.910000,2.934000,2.894000,2.908000,2.563525,1642345
2017-06-22,2.918000,2.922000,2.870000,2.886000,2.544131,1372074
2017-06-23,2.804000,2.854000,2.790000,2.810000,2.477134,28331422
2017-06-26,2.818000,2.836000,2.800000,2.828000,2.493002,1630273
2017-06-27,2.834000,2.836000,2.766000,2.774000,2.445399,1910324
2017-06-28,2.770000,2.770000,2.722000,2.756000,2.429531,2888073
2017-06-29,2.750000,2.752000,2.664000,2.700000,2.380164,3856354
2017-06-30,2.700000,2.716000,2.668000,2.676000,2.359008,1652970
2017-07-03,2.680000,2.712000,2.680000,2.692000,2.373112,1530407
2017-07-04,2.686000,2.694000,2.666000,2.688000,2.369586,1276275
2017-07-05,2.686000,2.690000,2.662000,2.674000,2.357245,1067723
2017-07-06,2.682000,2.728000,2.612000,2.612000,2.302589,1404520
2017-07-07,2.624000,2.648000,2.604000,2.638000,2.325509,1490055
2017-07-10,2.648000,2.690000,2.646000,2.684000,2.366060,1522790
2017-07-11,2.684000,2.706000,2.654000,2.654000,2.339614,2231121
2017-07-12,2.688000,2.698000,2.660000,2.676000,2.359008,1198202
2017-07-13,2.686000,2.718000,2.672000,2.718000,2.396032,783252
2017-07-14,2.720000,2.748000,2.708000,2.748000,2.422478,2593615
2017-07-17,2.748000,2.752000,2.710000,2.730000,2.406611,915423
2017-07-18,2.738000,2.750000,2.696000,2.720000,2.397795,1176556
2017-07-19,2.708000,2.740000,2.708000,2.738000,2.413663,1124054
2017-07-20,2.732000,2.736000,2.702000,2.710000,2.388980,1271844
2017-07-21,2.708000,2.772000,2.708000,2.760000,2.433057,1564544
2017-07-24,2.770000,2.804000,2.738000,2.780000,2.450688,1971095
2017-07-25,2.766000,2.800000,2.760000,2.774000,2.445399,1566710
2017-07-26,2.772000,2.804000,2.748000,2.780000,2.450688,1637671
2017-07-27,2.780000,2.804000,2.722000,2.722000,2.399558,1840059
2017-07-28,2.742000,2.754000,2.660000,2.696000,2.376639,1648328
2017-07-31,2.690000,2.752000,2.690000,2.730000,2.406611,1914064
2017-08-01,2.738000,2.778000,2.726000,2.750000,2.424242,2648078
2017-08-02,2.762000,2.762000,2.714000,2.736000,2.411900,1239923
2017-08-03,2.738000,2.742000,2.714000,2.734000,2.410137,1497925
2017-08-04,2.720000,2.736000,2.718000,2.726000,2.403085,1127553
2017-08-07,2.726000,2.748000,2.726000,2.742000,2.417190,972941
2017-08-08,2.732000,2.778000,2.732000,2.744000,2.418953,1590442
2017-08-09,2.758000,2.758000,2.714000,2.730000,2.406611,1122350
2017-08-10,2.722000,2.740000,2.706000,2.720000,2.397795,678843
2017-08-11,2.706000,2.712000,2.666000,2.680000,2.362534,1570257
2017-08-14,2.694000,2.730000,2.690000,2.720000,2.397795,1075000
2017-08-16,2.726000,2.750000,2.722000,2.750000,2.424242,1640179
2017-08-17,2.740000,2.756000,2.728000,2.748000,2.422478,1019514
2017-08-18,2.750000,2.786000,2.732000,2.760000,2.433057,2352106
2017-08-21,2.764000,2.766000,2.746000,2.752000,2.426005,908381
2017-08-22,2.772000,2.772000,2.674000,2.710000,2.388980,1909327
2017-08-23,2.710000,2.734000,2.690000,2.724000,2.401322,1539182
2017-08-24,2.724000,2.728000,2.682000,2.688000,2.369586,1144396
2017-08-25,2.700000,2.700000,2.670000,2.670000,2.353718,876935
2017-08-28,2.678000,2.680000,2.634000,2.644000,2.330798,1415723
2017-08-29,2.656000,2.664000,2.614000,2.626000,2.314930,2183906
