Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,4.806000,4.886000,4.796000,4.840000,3.837051,3102001
2017-06-05,4.820000,4.820000,4.740000,4.756000,3.770458,2668807
2017-06-06,4.710000,4.790000,4.710000,4.778000,3.787898,2358075
2017-06-07,4.788000,4.812000,4.710000,4.744000,3.760944,1877264
2017-06-08,4.712000,4.786000,4.712000,4.786000,3.794241,4202424
2017-06-09,4.776000,4.830000,4.672000,4.692000,3.719720,2693512
2017-06-12,4.652000,4.668000,4.532000,4.556000,3.611902,3978290
2017-06-13,4.570000,4.612000,4.542000,4.584000,3.634100,1741047
2017-06-14,4.576000,4.798000,4.576000,4.710000,3.733990,4104980
2017-06-15,4.676000,4.700000,4.570000,4.570000,3.623000,3155336
2017-06-16,4.626000,4.668000,4.586000,4.594000,3.642027,3210418
2017-06-19,4.634000,4.698000,4.622000,4.648000,3.684837,1663568
2017-06-20,4.668000,4.748000,4.654000,4.656000,3.691179,1415379
2017-06-21,4.640000,4.670000,4.594000,4.594000,3.642027,1883587
2017-06-22,4.588000,4.694000,4.588000,4.630000,3.670568,1440176
2017-06-23,4.644000,4.668000,4.588000,4.648000,3.684837,1812459
2017-06-26,4.650000,4.688000,4.602000,4.620000,3.662639,1330854
2017-06-27,4.616000,4.660000,4.472000,4.474000,3.546894,2136959
2017-06-28,4.440000,4.466000,4.358000,4.458000,3.534209,3287025
2017-06-29,4.480000,4.498000,4.352000,4.368000,3.462859,2317524
2017-06-30,4.420000,4.530000,4.400000,4.422000,3.505669,2400029
2017-07-03,4.450000,4.482000,4.416000,4.470000,3.543722,2203554
2017-07-04,4.446000,4.450000,4.380000,4.446000,3.524697,1777949
2017-07-05,4.404000,4.424000,4.384000,4.384000,3.475544,1064924
2017-07-06,4.398000,4.418000,4.350000,4.396000,3.485057,1637236
2017-07-07,4.408000,4.416000,4.372000,4.410000,3.496156,1480885
2017-07-10,4.418000,4.564000,4.408000,4.558000,3.613487,3258572
2017-07-11,4.552000,4.568000,4.498000,4.528000,3.589704,1407321
2017-07-12,4.518000,4.580000,4.510000,4.570000,3.623000,2547097
2017-07-13,4.586000,4.642000,4.504000,4.540000,3.599217,2291148
2017-07-14,4.558000,4.610000,4.538000,4.600000,3.646784,1415764
2017-07-17,4.616000,4.618000,4.560000,4.576000,3.627757,677556
2017-07-18,4.570000,4.602000,4.542000,4.570000,3.623000,1152290
2017-07-19,4.568000,4.628000,4.548000,4.606000,3.651541,1233361
2017-07-20,4.618000,4.744000,4.604000,4.680000,3.710206,2063226
2017-07-21,4.710000,4.712000,4.638000,4.670000,3.702279,1063094
2017-07-24,4.670000,4.748000,4.654000,4.680000,3.710206,1602739
2017-07-25,4.694000,4.714000,4.630000,4.630000,3.670568,1202620
2017-07-26,4.658000,4.660000,4.602000,4.602000,3.648370,1171053
2017-07-27,4.620000,4.692000,4.612000,4.614000,3.657882,943190
2017-07-28,4.668000,4.668000,4.548000,4.558000,3.613487,1895908
2017-07-31,4.554000,4.668000,4.554000,4.650000,3.686423,2591123
2017-08-01,4.650000,4.748000,4.648000,4.748000,3.764115,1958346
2017-08-02,4.796000,4.808000,4.700000,4.800000,3.805340,2336895
2017-08-03,4.764000,4.810000,4.708000,4.788000,3.795826,1110454
2017-08-04,4.808000,4.848000,4.774000,4.840000,3.837051,1481236
2017-08-07,4.820000,4.888000,4.810000,4.824000,3.824366,1245683
2017-08-08,4.820000,4.888000,4.814000,4.868000,3.859249,1182663
2017-08-09,4.860000,4.898000,4.816000,4.862000,3.854492,1627563
2017-08-10,4.854000,4.870000,4.822000,4.830000,3.829123,649672
2017-08-11,4.780000,4.814000,4.726000,4.726000,3.746674,1172588
2017-08-14,4.794000,4.834000,4.758000,4.834000,3.832294,1316763
2017-08-16,4.846000,4.870000,4.828000,4.856000,3.849735,1018979
2017-08-17,4.856000,4.872000,4.826000,4.832000,3.830709,1062261
2017-08-18,4.786000,4.880000,4.770000,4.856000,3.849735,1683946
2017-08-21,4.820000,4.860000,4.788000,4.832000,3.830709,1384943
2017-08-22,4.844000,4.844000,4.802000,4.804000,3.808511,767697
2017-08-23,4.810000,4.848000,4.780000,4.794000,3.800583,1282121
2017-08-24,4.808000,4.826000,4.784000,4.814000,3.816439,612186
2017-08-25,4.790000,4.818000,4.768000,4.780000,3.789484,937602
2017-08-28,4.780000,4.792000,4.756000,4.760000,3.773628,479531
2017-08-29,4.718000,4.758000,4.710000,4.740000,3.757773,1265229
2017-08-30,4.762000,4.774000,4.714000,4.772000,3.783142,1033833
2017-08-31,4.754000,4.796000,4.740000,4.744000,3.760944,1269558
2017-09-01,4.744000,4.806000,4.744000,4.802000,3.806925,1352033
2017-09-04,4.814000,4.814000,4.762000,4.762000,3.775214,1254427
2017-09-05,4.764000,4.804000,4.708000,4.708000,3.732404,1372679
2017-09-06,4.716000,4.788000,4.696000,4.766000,3.778385,2019085
2017-09-07,4.752000,4.786000,4.734000,4.782000,3.791070,2759009
