Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,4.946000,4.948000,4.846000,4.880000,4.029037,228753
2017-04-04,4.892000,5.045000,4.856000,4.980000,4.111600,425060
2017-04-05,4.992000,4.994000,4.902000,4.920000,4.062062,599772
2017-04-06,4.920000,5.040000,4.900000,5.020000,4.144624,439426
2017-04-07,5.035000,5.035000,4.902000,4.980000,4.111600,358036
2017-04-10,4.990000,5.025000,4.870000,4.930000,4.070318,346787
2017-04-11,4.896000,4.944000,4.864000,4.944000,4.081877,452194
2017-04-12,4.908000,4.998000,4.908000,4.992000,4.121507,149011
2017-04-13,4.990000,4.990000,4.918000,4.970000,4.103343,162655
2017-04-18,4.946000,5.000000,4.930000,4.950000,4.086831,307087
2017-04-19,4.966000,5.085000,4.920000,5.050000,4.169393,381731
2017-04-20,5.030000,5.045000,4.994000,5.010000,4.136368,211429
2017-04-21,5.000000,5.030000,4.932000,5.000000,4.128112,671238
2017-04-24,5.000000,5.075000,4.970000,5.030000,4.152881,227758
2017-04-25,5.025000,5.030000,4.968000,4.976000,4.108297,194275
2017-04-26,4.992000,5.090000,4.978000,5.090000,4.202417,355478
2017-04-27,5.055000,5.125000,4.982000,5.125000,4.231315,637674
2017-04-28,5.090000,5.125000,5.015000,5.080000,4.194161,391338
2017-05-02,5.000000,5.045000,4.962000,4.964000,4.098390,501496
2017-05-03,4.964000,5.000000,4.940000,5.000000,4.128112,205517
2017-05-04,5.025000,5.110000,4.994000,5.050000,4.169393,321155
2017-05-05,5.070000,5.070000,5.000000,5.050000,4.169393,289287
2017-05-08,5.050000,5.065000,5.020000,5.045000,4.165265,401743
2017-05-09,5.015000,5.100000,5.015000,5.080000,4.194161,447302
2017-05-10,5.075000,5.210000,5.065000,5.135000,4.239571,513973
2017-05-11,5.140000,5.200000,5.070000,5.175000,4.272595,585065
2017-05-12,5.195000,5.200000,5.110000,5.190000,4.284981,253039
2017-05-15,5.200000,5.270000,5.090000,5.135000,4.239571,437790
2017-05-16,5.115000,5.200000,5.090000,5.195000,4.289108,306932
2017-05-17,5.190000,5.215000,5.115000,5.130000,4.235443,306248
2017-05-18,5.090000,5.165000,5.010000,5.150000,4.251956,353563
2017-05-19,5.115000,5.150000,5.075000,5.100000,4.210674,500185
2017-05-22,5.140000,5.215000,5.050000,5.145000,4.373899,1102986
2017-05-23,5.150000,5.170000,5.025000,5.075000,4.314389,1255575
