Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,2.546000,2.546000,2.494000,2.506000,1.573203,122681562
2017-04-04,2.490000,2.524000,2.480000,2.524000,1.584503,104191279
2017-04-05,2.510000,2.548000,2.508000,2.516000,1.579481,108671556
2017-04-06,2.500000,2.538000,2.490000,2.532000,1.589525,98415184
2017-04-07,2.518000,2.548000,2.516000,2.540000,1.594547,94166030
2017-04-10,2.540000,2.540000,2.514000,2.526000,1.585759,80152799
2017-04-11,2.502000,2.518000,2.474000,2.502000,1.570692,131082034
2017-04-12,2.506000,2.518000,2.462000,2.478000,1.555626,118482538
2017-04-13,2.460000,2.464000,2.426000,2.438000,1.530515,125298633
2017-04-18,2.446000,2.452000,2.388000,2.388000,1.499126,126846688
2017-04-19,2.396000,2.496000,2.394000,2.474000,1.553114,153468216
2017-04-20,2.468000,2.510000,2.466000,2.490000,1.563159,125128242
2017-04-21,2.504000,2.516000,2.460000,2.514000,1.578225,162662447
2017-04-24,2.638000,2.736000,2.628000,2.702000,1.696247,416365323
2017-04-25,2.724000,2.766000,2.690000,2.756000,1.730147,155543350
2017-04-26,2.750000,2.754000,2.706000,2.736000,1.717592,126934887
2017-04-27,2.720000,2.738000,2.670000,2.672000,1.677414,144908232
2017-04-28,2.680000,2.720000,2.660000,2.674000,1.678669,133623785
2017-05-02,2.698000,2.702000,2.658000,2.678000,1.681180,102127186
2017-05-03,2.684000,2.698000,2.676000,2.692000,1.689969,90750103
2017-05-04,2.702000,2.768000,2.694000,2.760000,1.732658,164949834
2017-05-05,2.780000,2.868000,2.770000,2.842000,1.784135,220120701
2017-05-08,2.894000,2.898000,2.826000,2.852000,1.790413,157803137
2017-05-09,2.868000,2.898000,2.842000,2.848000,1.787902,137669866
2017-05-10,2.858000,2.880000,2.802000,2.850000,1.789158,120195181
2017-05-11,2.860000,2.870000,2.804000,2.832000,1.777858,155522363
2017-05-12,2.836000,2.856000,2.824000,2.828000,1.775347,118410666
2017-05-15,2.840000,2.856000,2.820000,2.842000,1.784135,98832438
2017-05-16,2.856000,2.860000,2.820000,2.840000,1.782880,114616421
2017-05-17,2.820000,2.834000,2.776000,2.798000,1.756513,148516817
2017-05-18,2.794000,2.810000,2.722000,2.786000,1.748980,199153679
2017-05-19,2.810000,2.828000,2.782000,2.800000,1.757769,149846902
2017-05-22,2.686000,2.714000,2.668000,2.684000,1.799333,144069656
2017-05-23,2.680000,2.714000,2.676000,2.692000,1.804696,105029719
2017-05-24,2.694000,2.694000,2.660000,2.686000,1.800674,81385390
2017-05-25,2.690000,2.692000,2.636000,2.664000,1.785926,101639098
2017-05-26,2.646000,2.652000,2.578000,2.622000,1.757769,139082310
2017-05-29,2.620000,2.626000,2.548000,2.568000,1.721568,103145427
2017-05-30,2.550000,2.588000,2.522000,2.552000,1.710842,147227637
2017-05-31,2.560000,2.598000,2.530000,2.548000,1.708160,155350049
2017-06-01,2.556000,2.604000,2.538000,2.572000,1.724249,102737657
2017-06-02,2.596000,2.636000,2.570000,2.590000,1.736316,116711081
2017-06-05,2.592000,2.604000,2.544000,2.556000,1.713523,70547796
