Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,11.260000,11.400000,9.570000,10.108000,10.108000,23323315
2022-01-04,10.400000,10.990000,10.250000,10.710000,10.710000,11315628
2022-01-05,10.900000,11.416000,10.816000,11.376000,11.376000,9073446
2022-01-06,11.100000,11.250000,10.600000,10.600000,10.600000,8844542
2022-01-07,10.440000,10.882000,10.214000,10.290000,10.290000,11941139
2022-01-10,10.100000,10.500000,10.090000,10.160000,10.160000,6880124
2022-01-11,10.160000,10.330000,10.080000,10.150000,10.150000,4472971
2022-01-12,10.260000,10.740000,10.200000,10.730000,10.730000,5804326
2022-01-13,10.750000,11.360000,10.700000,11.080000,11.080000,7510382
2022-01-14,11.010000,11.130000,10.660000,10.700000,10.700000,4406227
2022-01-17,10.850000,10.950000,10.570000,10.650000,10.650000,3165422
2022-01-18,10.630000,10.650000,10.400000,10.400000,10.400000,2435262
2022-01-19,10.400000,10.630000,10.290000,10.450000,10.450000,2413549
2022-01-20,10.460000,10.610000,10.400000,10.400000,10.400000,1535035
2022-01-21,10.290000,10.440000,10.250000,10.320000,10.320000,1777164
2022-01-24,10.260000,10.290000,9.580000,9.585000,9.585000,4229589
2022-01-25,9.725000,9.745000,9.240000,9.310000,9.310000,3251441
2022-01-26,9.300000,9.785000,9.155000,9.625000,9.625000,3546202
2022-01-27,9.435000,9.840000,9.360000,9.625000,9.625000,2484688
2022-01-28,9.605000,9.645000,9.365000,9.405000,9.405000,1984383
2022-01-31,9.730000,9.740000,9.390000,9.470000,9.470000,1481754
2022-02-01,9.550000,9.590000,9.385000,9.525000,9.525000,3182466
2022-02-02,9.550000,9.580000,9.320000,9.320000,9.320000,2785789
2022-02-03,9.300000,9.300000,9.045000,9.045000,9.045000,2319627
2022-02-04,9.100000,9.115000,8.730000,8.760000,8.760000,3367791
2022-02-07,8.840000,8.925000,8.700000,8.750000,8.750000,3275204
2022-02-08,8.790000,9.125000,8.260000,8.430000,8.430000,6011852
2022-02-09,8.470000,9.015000,8.300000,9.015000,9.015000,6081895
2022-02-10,8.970000,9.060000,8.745000,8.950000,8.950000,4204295
2022-02-11,8.760000,8.815000,8.585000,8.610000,8.610000,3316128
2022-02-14,8.480000,8.485000,8.105000,8.270000,8.270000,3910261
2022-02-15,8.250000,8.485000,8.170000,8.435000,8.435000,2468105
2022-02-16,8.560000,8.590000,8.325000,8.375000,8.375000,2299262
2022-02-17,8.350000,8.375000,8.070000,8.080000,8.080000,3404051
2022-02-18,8.100000,8.165000,7.935000,8.055000,8.055000,2313680
2022-02-21,8.100000,8.115000,7.845000,7.845000,7.845000,2369088
2022-02-22,7.510000,8.145000,7.165000,8.050000,8.050000,3062742
2022-02-23,8.080000,8.105000,7.740000,7.740000,7.740000,1845591
2022-02-24,7.280000,7.515000,7.205000,7.355000,7.355000,4104613
2022-02-25,7.450000,7.500000,7.170000,7.500000,7.500000,3075358
2022-02-28,7.300000,7.475000,7.200000,7.445000,7.445000,2532581
2022-03-01,7.500000,7.515000,6.915000,6.915000,6.915000,3306233
2022-03-02,6.855000,7.055000,6.670000,7.005000,7.005000,3447231
2022-03-03,7.080000,7.100000,6.825000,6.875000,6.875000,1906095
2022-03-04,6.725000,6.785000,6.180000,6.335000,6.335000,3684492
2022-03-07,5.870000,6.335000,5.720000,6.130000,6.130000,5966204
2022-03-08,6.130000,6.610000,6.085000,6.390000,6.390000,3779682
2022-03-09,6.600000,6.655000,6.435000,6.640000,6.640000,4270764
2022-03-10,6.640000,6.655000,6.080000,6.130000,6.130000,5312212
2022-03-11,6.150000,6.740000,6.150000,6.445000,6.445000,4433079
2022-03-14,6.590000,6.725000,6.515000,6.720000,6.720000,2581341
2022-03-15,6.695000,6.695000,6.450000,6.540000,6.540000,2670255
2022-03-16,6.740000,6.795000,6.630000,6.690000,6.690000,2826765
2022-03-17,6.770000,7.015000,6.750000,6.920000,6.920000,3556258
2022-03-18,6.955000,6.980000,6.630000,6.715000,6.715000,4400032
2022-03-21,6.625000,6.705000,6.515000,6.580000,6.580000,2303616
2022-03-22,6.590000,6.640000,6.505000,6.640000,6.640000,2735170
2022-03-23,6.750000,6.860000,6.525000,6.525000,6.525000,2749560
2022-03-24,6.600000,6.640000,6.510000,6.535000,6.535000,1556296
2022-03-25,6.575000,6.575000,6.250000,6.265000,6.265000,3912970
2022-03-28,6.285000,6.440000,6.285000,6.305000,6.305000,3017576
2022-03-29,6.390000,6.625000,6.285000,6.570000,6.570000,4427308
2022-03-30,6.575000,6.595000,6.290000,6.300000,6.300000,4370928
2022-03-31,6.360000,6.365000,5.950000,5.950000,5.950000,5857735
