Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,8.530000,8.590000,8.370000,8.410000,6.815673,3296925
2017-06-05,8.405000,8.440000,8.265000,8.335000,6.754892,2665883
2017-06-06,8.245000,8.295000,8.190000,8.290000,6.718423,3583895
2017-06-07,8.300000,8.445000,8.235000,8.365000,6.779204,3529969
2017-06-08,8.385000,8.525000,8.305000,8.510000,6.896716,4815522
2017-06-09,8.495000,8.635000,8.460000,8.590000,6.961551,3647857
2017-06-12,8.545000,8.670000,8.500000,8.560000,6.937238,2944920
2017-06-13,8.555000,8.665000,8.530000,8.645000,7.006124,2895762
2017-06-14,8.645000,8.700000,8.525000,8.525000,6.908872,3316322
2017-06-15,8.530000,8.585000,8.465000,8.490000,6.880508,5799968
2017-06-16,8.600000,8.600000,8.420000,8.555000,6.933186,4552825
2017-06-19,8.570000,8.650000,8.540000,8.560000,6.937238,2694701
2017-06-20,8.570000,8.585000,8.385000,8.395000,6.803517,4366061
2017-06-21,8.365000,8.525000,8.250000,8.475000,6.868352,3353473
2017-06-22,8.450000,8.470000,8.320000,8.400000,6.807569,2575543
2017-06-23,8.400000,8.500000,8.245000,8.265000,6.698163,3011387
2017-06-26,8.315000,8.605000,8.300000,8.500000,6.888612,4113053
2017-06-27,8.500000,8.585000,8.440000,8.480000,6.872404,3176866
2017-06-28,8.460000,8.725000,8.405000,8.695000,7.046644,4627514
2017-06-29,8.770000,8.840000,8.650000,8.675000,7.030437,4248443
2017-06-30,8.720000,8.815000,8.595000,8.640000,7.002072,3266133
2017-07-03,8.635000,8.820000,8.635000,8.800000,7.131740,4035091
2017-07-04,8.780000,8.895000,8.760000,8.875000,7.192522,3706063
2017-07-05,8.850000,8.885000,8.710000,8.765000,7.103375,2486683
2017-07-06,8.770000,8.860000,8.715000,8.850000,7.172261,3365078
2017-07-07,8.875000,8.890000,8.755000,8.820000,7.147947,2119857
2017-07-10,8.875000,8.885000,8.790000,8.870000,7.188469,2404785
2017-07-11,8.870000,9.050000,8.855000,8.980000,7.277616,4429215
