Date,Open,High,Low,Close,Adj Close,Volume
2019-04-23,8.368000,8.499000,8.350000,8.400000,8.400000,2495817
2019-04-24,8.400000,8.558000,8.400000,8.521000,8.521000,2017525
2019-04-25,8.530000,8.550000,8.394000,8.402000,8.402000,1222161
2019-04-26,8.460000,8.460000,8.103000,8.104000,8.104000,3477583
2019-04-29,8.174000,8.215000,8.050000,8.180000,8.180000,2845899
2019-04-30,8.157000,8.210000,8.038000,8.038000,8.038000,1523490
2019-05-02,8.036000,8.279000,7.831000,8.220000,8.220000,5694165
2019-05-03,8.219000,8.219000,8.083000,8.170000,8.170000,1158916
2019-05-06,8.139000,8.269000,7.993000,8.215000,8.215000,1338361
2019-05-07,8.244000,8.250000,8.133000,8.133000,8.133000,821093
2019-05-08,8.175000,8.219000,8.070000,8.083000,8.083000,1125377
2019-05-09,8.052000,8.150000,8.000000,8.100000,8.100000,1305100
2019-05-10,8.100000,8.449000,8.062000,8.435000,8.435000,2783869
2019-05-13,8.401000,8.450000,8.290000,8.333000,8.333000,930046
2019-05-14,8.333000,8.469000,8.259000,8.358000,8.358000,1987775
2019-05-15,8.436000,8.497000,8.351000,8.410000,8.410000,1382606
2019-05-16,8.449000,8.754000,8.388000,8.735000,8.735000,2613005
2019-05-17,8.672000,8.794000,8.654000,8.770000,8.770000,2015908
2019-05-20,8.752000,8.850000,8.566000,8.620000,8.620000,1182584
2019-05-21,8.698000,8.800000,8.648000,8.800000,8.800000,1209652
2019-05-22,8.799000,8.890000,8.763000,8.850000,8.850000,2209531
2019-05-23,8.920000,9.001000,8.780000,8.860000,8.860000,2775252
2019-05-24,8.890000,9.047000,8.890000,8.901000,8.901000,1712850
2019-05-27,8.998000,9.078000,8.941000,9.000000,9.000000,918665
2019-05-28,9.050000,9.080000,8.903000,8.903000,8.903000,1088282
2019-05-29,8.904000,8.940000,8.731000,8.820000,8.820000,945447
2019-05-30,8.880000,8.880000,8.772000,8.796000,8.796000,588794
2019-05-31,8.760000,8.760000,8.548000,8.700000,8.700000,1739763
2019-06-03,8.650000,8.830000,8.589000,8.796000,8.796000,528054
2019-06-04,8.829000,8.931000,8.801000,8.890000,8.890000,435646
2019-06-05,8.910000,8.985000,8.883000,8.952000,8.952000,692973
2019-06-06,9.000000,9.196000,8.990000,9.196000,9.196000,2383733
2019-06-07,9.200000,9.323000,9.125000,9.323000,9.323000,1011345
2019-06-10,9.350000,9.449000,9.162000,9.330000,9.330000,1259328
2019-06-11,9.333000,9.362000,9.085000,9.150000,9.150000,1078771
2019-06-12,9.119000,9.138000,8.995000,9.050000,9.050000,1386845
2019-06-13,9.000000,9.270000,9.000000,9.265000,9.265000,831391
2019-06-14,9.284000,9.284000,9.144000,9.210000,9.210000,373448
2019-06-17,9.230000,9.267000,9.124000,9.171000,9.171000,298772
2019-06-18,9.171000,9.330000,9.119000,9.266000,9.266000,923039
2019-06-19,9.267000,9.294000,9.013000,9.166000,9.166000,1036838
2019-06-20,9.237000,9.237000,9.147000,9.180000,9.180000,636387
2019-06-21,9.170000,9.175000,9.050000,9.114000,9.114000,5887530
2019-06-24,9.144000,9.190000,9.001000,9.044000,9.044000,758336
2019-06-25,9.049000,9.050000,8.820000,8.822000,8.822000,1402048
2019-06-26,8.808000,8.929000,8.755000,8.929000,8.929000,1115123
2019-06-27,8.910000,9.008000,8.910000,9.008000,9.008000,387110
2019-06-28,9.047000,9.120000,8.962000,9.061000,9.061000,604132
2019-07-01,9.130000,9.130000,9.055000,9.093000,9.093000,650942
2019-07-02,9.094000,9.125000,8.958000,9.071000,9.071000,847838
2019-07-03,9.080000,9.150000,9.043000,9.139000,9.139000,1352053
2019-07-04,9.090000,9.160000,9.035000,9.073000,9.073000,1325483
2019-07-05,9.024000,9.144000,9.024000,9.115000,9.115000,1295292
2019-07-08,9.110000,9.237000,9.083000,9.235000,9.235000,1258992
2019-07-09,9.240000,9.430000,9.198000,9.360000,9.360000,2062250
