Date,Open,High,Low,Close,Adj Close,Volume
2017-10-04,6.490000,6.500000,6.280000,6.470000,5.882407,86898069
2017-10-05,6.480000,6.750000,6.460000,6.710000,6.100611,24993644
2017-10-06,6.750000,6.795000,6.665000,6.700000,6.091519,10381356
2017-10-09,6.735000,6.740000,6.560000,6.560000,5.964233,5160664
2017-10-10,6.535000,6.680000,6.495000,6.595000,5.996055,11557809
2017-10-11,6.630000,6.635000,6.590000,6.605000,6.005147,1858638
2017-10-12,6.615000,6.650000,6.505000,6.505000,5.914229,1660176
2017-10-13,6.515000,6.540000,6.500000,6.500000,5.909683,1559429
2017-10-16,6.520000,6.540000,6.480000,6.495000,5.905137,4863908
2017-10-17,6.500000,6.505000,6.430000,6.460000,5.873315,2476184
2017-10-18,6.480000,6.500000,6.440000,6.440000,5.855132,2629669
2017-10-19,6.440000,6.470000,6.285000,6.340000,5.764214,4236326
2017-10-20,6.340000,6.500000,6.320000,6.495000,5.905137,2519007
2017-10-23,6.495000,6.530000,6.480000,6.515000,5.923320,2086712
2017-10-24,6.510000,6.535000,6.485000,6.500000,5.909683,1266116
2017-10-25,6.500000,6.510000,6.470000,6.490000,5.900591,941108
2017-10-26,6.485000,6.515000,6.480000,6.515000,5.923320,1554901
2017-10-27,6.520000,6.605000,6.495000,6.600000,6.000601,2506280
2017-10-30,6.600000,6.620000,6.560000,6.610000,6.009693,778081
2017-10-31,6.610000,6.780000,6.550000,6.750000,6.136979,3151263
2017-11-01,6.790000,7.080000,6.755000,6.990000,6.355182,3306513
2017-11-02,6.970000,7.025000,6.640000,6.945000,6.314269,4122333
2017-11-03,6.970000,6.985000,6.860000,6.890000,6.264264,2075041
2017-11-06,6.920000,7.135000,6.815000,7.000000,6.364274,3819227
2017-11-07,7.000000,7.120000,6.930000,7.050000,6.409733,3523859
2017-11-08,7.065000,7.065000,6.850000,6.935000,6.305177,1969234
2017-11-09,7.080000,7.110000,6.915000,6.915000,6.286993,2297413
2017-11-10,6.975000,7.000000,6.750000,6.760000,6.146070,1893614
2017-11-13,6.940000,6.940000,6.755000,6.840000,6.218805,1171585
2017-11-14,6.860000,6.895000,6.755000,6.855000,6.232442,842590
2017-11-15,6.885000,6.885000,6.745000,6.800000,6.182437,771098
2017-11-16,6.800000,6.885000,6.795000,6.800000,6.182437,532136
2017-11-17,6.805000,6.870000,6.745000,6.840000,6.218805,764504
2017-11-20,6.830000,6.885000,6.775000,6.835000,6.214259,599729
2017-11-21,6.870000,7.100000,6.835000,7.090000,6.446101,2805496
2017-11-22,7.090000,7.135000,7.010000,7.040000,6.400641,1554481
2017-11-23,7.035000,7.095000,7.000000,7.045000,6.405187,874776
2017-11-24,7.085000,7.090000,7.030000,7.090000,6.446101,502101
