Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,24.556627,24.885338,24.556627,24.827330,22.060369,1794118
2017-06-05,24.769321,24.856335,24.421274,24.440611,21.716747,909330
2017-06-06,24.363268,24.691978,24.208580,24.256920,21.553532,1155341
2017-06-07,24.343931,25.030357,24.324596,24.924009,22.146273,2176144
2017-06-08,24.991686,25.020689,24.633970,24.846666,22.077549,2459574
2017-06-09,25.040026,25.223717,24.730650,25.078697,22.283720,1008908
2017-06-12,25.040026,25.040026,24.440611,24.440611,21.716747,876911
2017-06-13,24.508287,24.895004,24.440611,24.895004,22.120502,997869
2017-06-14,24.798326,25.359068,24.798326,25.088366,22.292313,1322931
2017-06-15,25.040026,25.059361,24.730650,24.769321,22.008825,1189716
2017-06-16,24.943344,25.030357,24.759653,24.798326,22.034595,1121335
2017-06-19,24.991686,25.407408,24.991686,25.330065,22.507074,660915
2017-06-20,25.330065,25.417074,25.069029,25.127037,22.326674,847903
2017-06-21,25.040026,25.204380,24.769321,25.204380,22.395397,706255
2017-06-22,25.020689,25.223717,24.962681,25.040026,22.249359,585070
2017-06-23,25.214048,25.755453,25.001352,25.658775,22.799150,2706375
2017-06-26,25.629770,25.900475,25.272057,25.330065,22.507074,959390
2017-06-27,25.233383,25.388071,24.701647,24.701647,21.948690,1179981
2017-06-28,24.653305,24.895004,24.508287,24.846666,22.077549,806700
2017-06-29,24.895004,24.904673,24.498619,24.585630,21.845604,1125794
2017-06-30,24.604967,25.078697,24.546959,24.895004,22.120502,1216815
2017-07-03,25.030357,25.513756,24.904673,25.513756,22.670296,944450
2017-07-04,25.397739,25.397739,25.030357,25.117369,22.318081,482194
2017-07-05,25.117369,25.649107,25.011021,25.571762,22.721834,1311981
2017-07-06,25.629770,25.687778,25.136705,25.291391,22.472712,898008
2017-07-07,25.310728,25.591099,25.069029,25.591099,22.739017,1096050
2017-07-10,25.620104,25.736118,25.243052,25.736118,22.867874,1448202
2017-07-11,25.707113,25.900475,25.378405,25.581430,22.730425,1080937
2017-07-12,25.620104,26.151840,25.542759,25.919809,23.031094,1276577
2017-07-13,25.929478,26.055161,25.716782,25.900475,23.013912,729826
2017-07-14,26.006821,26.219517,25.871469,26.171177,23.254446,828833
2017-07-17,26.432213,26.760921,26.267857,26.519222,23.563700,1428530
2017-07-18,26.383871,26.480551,25.813461,25.958481,23.065456,1189255
2017-07-19,26.045492,26.364536,25.871469,26.258188,23.331758,1178931
2017-07-20,26.374205,26.451548,25.890806,25.939144,23.048273,868942
2017-07-21,25.939144,25.987486,25.446079,25.455748,22.618750,1464993
2017-07-24,25.523422,25.697447,25.455748,25.533091,22.687471,573983
2017-07-25,25.629770,25.939144,25.504087,25.504087,22.661703,1053717
2017-07-26,25.649107,25.890806,25.436411,25.890806,23.005323,877563
2017-07-27,25.910143,26.200180,25.552427,26.200180,23.280216,1066650
2017-07-28,26.045492,26.045492,25.639439,25.774790,22.902235,938513
2017-07-31,25.794127,26.490219,25.649107,26.151840,23.237265,2624348
2017-08-01,26.122837,26.354868,25.968149,26.354868,23.417665,743499
2017-08-02,26.393539,26.625570,26.200180,26.364536,23.426254,651972
2017-08-03,26.296860,26.422544,25.832798,25.910143,23.022505,1185820
2017-08-04,26.045492,26.277525,25.803795,26.277525,23.348942,703484
2017-08-07,26.345200,26.345200,26.064829,26.103500,23.194309,685319
2017-08-08,26.142174,26.229183,26.016489,26.142174,23.228676,690957
2017-08-09,25.958481,26.277525,25.813461,25.968149,23.074045,560373
2017-08-10,25.890806,25.977818,25.542759,25.562096,22.713245,526891
2017-08-11,25.426743,25.436411,25.107700,25.107700,22.309492,692155
2017-08-14,25.330065,25.484751,25.136705,25.475082,22.635929,668727
2017-08-16,25.533091,25.765121,25.417074,25.697447,22.833513,947092
2017-08-17,25.552427,25.716782,25.436411,25.639439,22.781969,730255
2017-08-18,25.397739,25.736118,25.214048,25.629770,22.773376,571340
2017-08-21,25.552427,25.591099,25.040026,25.243052,22.429760,583255
2017-08-22,25.446079,25.562096,25.281725,25.552427,22.704657,453939
2017-08-23,25.475082,25.871469,25.475082,25.658775,22.799150,747309
2017-08-24,25.687778,25.765121,25.417074,25.658775,22.799150,919660
2017-08-25,25.591099,25.832798,25.533091,25.533091,22.687471,456867
2017-08-28,25.542759,25.668442,25.349400,25.417074,22.584387,382441
2017-08-29,25.378405,25.378405,24.895004,25.088366,22.292313,911458
2017-08-30,25.185043,25.339731,25.040026,25.194712,22.386806,512185
2017-08-31,25.378405,25.620104,25.214048,25.542759,22.696064,1145835
2017-09-01,25.484751,25.803795,25.484751,25.687778,22.824921,395373
2017-09-04,25.523422,25.832798,25.494419,25.697447,22.833513,307914
2017-09-05,25.726450,25.871469,25.542759,25.639439,22.781969,683983
2017-09-06,25.475082,25.794127,25.397739,25.784458,22.910828,425963
2017-09-07,25.784458,25.958481,25.658775,25.939144,23.048273,568884
2017-09-08,25.919809,26.345200,25.813461,26.238852,23.314579,1510178
2017-09-11,26.325865,26.992952,26.267857,26.973618,23.967455,1778024
2017-09-12,27.002621,27.205648,26.963949,27.166977,24.139265,1430341
2017-09-13,27.041292,27.263657,27.041292,27.215317,24.182219,727605
2017-09-14,27.108969,27.408676,27.012289,27.224985,24.190811,931811
2017-09-15,27.379671,27.553696,27.195980,27.370005,24.319668,1247192
2017-09-18,27.457016,27.505356,27.282991,27.486019,24.422750,698634
2017-09-19,27.495687,27.573030,27.370005,27.495687,24.431341,728551
2017-09-20,27.476353,27.515024,27.215317,27.302328,24.259531,764250
2017-09-21,27.389339,27.447348,27.234653,27.447348,24.388391,555730
2017-09-22,27.389339,27.621370,27.302328,27.573030,24.500067,463127
2017-09-25,27.486019,27.650375,27.418344,27.466684,24.405571,461945
2017-09-26,27.399008,27.573030,27.341000,27.534359,24.465704,762757
2017-09-27,27.534359,27.679379,27.447348,27.563362,24.491474,568312
2017-09-28,27.592367,27.592367,27.360336,27.418344,24.362619,754684
