Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,6.340000,6.395000,6.275000,6.335000,4.785124,3785808
2017-06-05,6.330000,6.330000,6.210000,6.210000,4.690706,4385161
2017-06-06,6.200000,6.220000,6.120000,6.170000,4.660492,5736730
2017-06-07,6.190000,6.225000,6.135000,6.185000,4.671822,3847366
2017-06-08,6.210000,6.260000,6.155000,6.210000,4.690706,3261197
2017-06-09,6.230000,6.300000,6.205000,6.300000,4.758687,4532310
2017-06-12,6.300000,6.425000,6.275000,6.410000,4.841774,7280430
2017-06-13,6.420000,6.445000,6.380000,6.380000,4.819115,5442432
2017-06-14,6.400000,6.440000,6.400000,6.430000,4.856881,4100431
2017-06-15,6.450000,6.465000,6.370000,6.465000,4.883319,6793951
2017-06-16,6.480000,6.490000,6.440000,6.480000,4.894649,8030630
2017-06-19,6.130000,6.180000,6.040000,6.040000,4.854463,10520006
2017-06-20,6.080000,6.135000,6.040000,6.060000,4.870538,6838932
2017-06-21,6.050000,6.080000,6.030000,6.080000,4.886612,4525544
2017-06-22,6.055000,6.065000,5.990000,5.990000,4.814277,4009031
2017-06-23,6.000000,6.030000,5.960000,6.000000,4.822314,2802050
2017-06-26,6.020000,6.075000,6.015000,6.020000,4.838388,3187387
2017-06-27,6.015000,6.035000,5.960000,5.960000,4.790165,2629612
2017-06-28,5.960000,6.090000,5.940000,6.090000,4.894649,4671587
2017-06-29,6.090000,6.095000,5.995000,6.035000,4.850445,3724773
2017-06-30,6.045000,6.055000,5.965000,5.995000,4.818295,3503357
2017-07-03,6.005000,6.015000,5.955000,6.005000,4.826334,3317173
2017-07-04,5.995000,6.010000,5.970000,5.970000,4.798203,2513587
2017-07-05,5.985000,6.010000,5.945000,5.945000,4.778110,3355061
2017-07-06,5.940000,6.060000,5.940000,6.050000,4.862500,4168235
2017-07-07,6.050000,6.065000,5.980000,6.065000,4.874557,2533221
2017-07-10,6.070000,6.085000,6.045000,6.080000,4.886612,2311961
2017-07-11,6.075000,6.105000,6.060000,6.065000,4.874557,2489214
2017-07-12,6.070000,6.125000,6.070000,6.125000,4.922779,2964015
2017-07-13,6.125000,6.125000,6.065000,6.095000,4.898668,2223971
2017-07-14,6.095000,6.115000,6.045000,6.080000,4.886612,1828387
