Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,36.599998,38.000000,36.590000,37.900002,33.460205,961872
2017-06-05,38.000000,38.009998,36.709999,36.709999,32.409603,637652
2017-06-06,36.500000,37.240002,36.419998,36.860001,32.542034,644006
2017-06-07,36.549999,36.720001,35.830002,36.270000,32.021149,848514
2017-06-08,36.320000,36.680000,35.950001,36.480000,32.206551,505366
2017-06-09,36.700001,36.750000,36.180000,36.520000,32.241867,492604
2017-06-12,36.270000,36.500000,35.630001,35.860001,31.659174,463698
2017-06-13,36.110001,36.560001,36.020000,36.439999,32.171234,434984
2017-06-14,36.580002,36.660000,36.110001,36.500000,32.224205,451874
2017-06-15,36.310001,36.610001,35.970001,36.500000,32.224205,378197
2017-06-16,36.900002,36.900002,36.240002,36.860001,32.542034,791788
2017-06-19,36.860001,37.270000,36.529999,37.270000,32.904003,741040
2017-06-20,37.000000,37.580002,37.000000,37.040001,32.700962,600219
2017-06-21,36.880001,37.310001,36.660000,37.310001,32.939323,489652
2017-06-22,37.209999,37.650002,37.130001,37.599998,33.195347,434916
2017-06-23,37.599998,37.700001,37.150002,37.209999,32.851032,284416
2017-06-26,37.330002,37.500000,37.119999,37.400002,33.018776,234854
2017-06-27,37.299999,37.340000,36.250000,36.250000,32.003490,541305
2017-06-28,36.020000,36.580002,35.549999,36.500000,32.224205,584478
2017-06-29,36.380001,36.389999,35.270000,35.270000,31.138296,503284
2017-06-30,35.349998,35.520000,34.860001,35.520000,31.359013,675536
2017-07-03,35.520000,35.680000,34.720001,34.799999,30.723354,466595
2017-07-04,34.799999,35.490002,34.500000,35.400002,31.253073,428017
2017-07-05,35.360001,35.549999,34.959999,35.490002,31.332525,301722
2017-07-06,35.570000,35.570000,34.880001,34.959999,30.864613,296620
2017-07-07,34.980000,35.150002,34.740002,34.889999,30.802813,361119
2017-07-10,35.189999,35.389999,34.930000,35.240002,31.111813,322678
2017-07-11,35.240002,35.320000,34.490002,35.020000,30.917583,507714
2017-07-12,35.020000,35.450001,34.860001,35.450001,31.297211,309497
2017-07-13,35.480000,35.590000,35.020000,35.090000,30.979383,244301
2017-07-14,35.150002,35.490002,34.990002,35.490002,31.332525,208678
2017-07-17,35.520000,35.570000,35.250000,35.430000,31.279547,196442
2017-07-18,35.430000,35.980000,35.389999,35.520000,31.359013,637584
2017-07-19,35.570000,35.810001,35.410000,35.509998,31.350182,277162
2017-07-20,35.810001,36.730000,35.669998,36.480000,32.206551,819349
2017-07-21,36.349998,36.660000,35.509998,35.509998,31.350182,487295
2017-07-24,35.599998,36.380001,35.410000,36.110001,31.879896,397525
2017-07-25,36.230000,36.470001,35.900002,36.080002,31.853405,230060
2017-07-26,36.099998,36.320000,35.910000,36.099998,31.871065,232875
2017-07-27,36.000000,37.340000,35.990002,36.020000,31.800434,631494
2017-07-28,36.250000,36.250000,35.470001,35.700001,31.517921,357919
2017-07-31,35.750000,36.419998,35.669998,36.099998,31.871065,396993
2017-08-01,35.860001,36.389999,35.610001,35.860001,31.659174,388858
2017-08-02,35.840000,35.970001,35.480000,35.540001,31.376665,219384
2017-08-03,35.619999,36.049999,35.400002,35.660000,31.482613,609913
2017-08-04,35.900002,35.919998,35.189999,35.759998,31.570898,285928
2017-08-07,35.880001,35.930000,35.360001,35.560001,31.394323,245750
2017-08-08,35.349998,35.650002,35.299999,35.480000,31.323696,239926
2017-08-09,35.500000,35.650002,35.060001,35.639999,31.464949,493896
2017-08-10,35.689999,35.689999,35.009998,35.009998,30.908754,421483
2017-08-11,35.000000,35.169998,34.509998,34.669998,30.608587,322302
2017-08-14,34.950001,35.200001,34.790001,35.139999,31.023523,291654
2017-08-16,35.139999,35.799999,34.919998,35.209999,31.085323,541362
2017-08-17,35.340000,36.029999,35.299999,35.480000,31.323696,381821
2017-08-18,35.349998,35.349998,34.840000,34.919998,30.829296,508770
2017-08-21,34.730000,35.099998,34.619999,34.950001,30.855778,197952
2017-08-22,35.090000,35.360001,34.700001,35.360001,31.217752,226260
2017-08-23,35.380001,35.459999,34.919998,35.049999,30.944065,301270
2017-08-24,34.970001,35.700001,34.970001,35.619999,31.447292,348510
2017-08-25,35.500000,35.730000,35.230000,35.439999,31.288380,376010
2017-08-28,35.349998,35.509998,34.950001,35.320000,31.182438,211224
2017-08-29,35.150002,35.320000,34.860001,35.169998,31.050011,304201
2017-08-30,35.439999,35.680000,35.049999,35.650002,31.473782,211715
2017-08-31,35.650002,36.160000,35.310001,35.980000,31.765121,639279
2017-09-01,36.200001,36.560001,36.200001,36.349998,32.091774,301678
2017-09-04,36.270000,36.299999,35.889999,35.980000,31.765121,239687
2017-09-05,36.099998,36.270000,35.950001,36.200001,31.959352,190769
2017-09-06,36.020000,36.200001,35.889999,36.169998,31.932859,494357
2017-09-07,36.299999,36.450001,35.950001,36.430000,32.162407,251151
2017-09-08,36.389999,36.980000,36.310001,36.980000,32.647976,301901
2017-09-11,37.000000,37.419998,36.880001,37.220001,32.859859,509658
2017-09-12,37.299999,37.490002,37.090000,37.169998,32.815716,241269
2017-09-13,37.009998,37.500000,36.849998,37.299999,32.930492,489288
2017-09-14,37.099998,37.450001,37.099998,37.450001,33.062923,310071
2017-09-15,37.490002,37.490002,36.990002,36.990002,32.656811,389813
2017-09-18,37.009998,37.279999,37.009998,37.279999,32.912830,164719
2017-09-19,37.279999,37.450001,37.189999,37.450001,33.062923,235249
2017-09-20,37.490002,37.700001,37.389999,37.680000,33.265976,239369
2017-09-21,37.700001,38.270000,37.369999,37.919998,33.477859,548914
2017-09-22,37.980000,38.540001,37.759998,38.459999,33.954601,390370
2017-09-25,38.500000,39.160000,38.459999,39.070000,34.493145,446212
2017-09-26,39.310001,39.349998,38.599998,38.959999,34.396030,352122
2017-09-27,39.169998,39.169998,38.509998,38.849998,34.298916,407564
2017-09-28,38.939999,39.400002,38.630001,39.400002,34.784492,485421
2017-09-29,39.279999,39.500000,38.860001,39.000000,34.431343,558106
2017-10-02,39.099998,39.369999,38.970001,39.369999,34.757996,301678
2017-10-03,39.400002,39.500000,39.000000,39.139999,34.554943,247791
2017-10-04,39.299999,39.410000,38.830002,39.410000,34.793316,399383
2017-10-05,39.410000,39.639999,39.209999,39.540001,34.908092,431440
2017-10-06,39.320000,39.590000,39.310001,39.570000,34.934570,329754
2017-10-09,39.500000,39.860001,39.500000,39.860001,35.190598,230759
2017-10-10,39.799999,39.849998,39.430000,39.570000,34.934570,455011
2017-10-11,39.619999,40.099998,39.410000,39.830002,35.164116,507842
2017-10-12,39.830002,40.099998,39.599998,40.080002,35.384827,286381
2017-10-13,40.080002,40.349998,39.730000,39.790001,35.128796,325263
2017-10-16,39.790001,40.099998,39.650002,40.099998,35.402481,234996
2017-10-17,40.209999,40.290001,39.610001,39.610001,34.969891,368982
2017-10-18,39.570000,39.910000,39.439999,39.669998,35.022858,239920
2017-10-19,39.790001,39.790001,38.970001,39.529999,34.899258,386771
2017-10-20,39.410000,39.709999,39.279999,39.709999,35.058178,388769
2017-10-23,39.720001,39.939999,39.590000,39.939999,35.261223,273605
2017-10-24,39.919998,40.520000,39.830002,40.180000,35.473114,718406
2017-10-25,40.040001,40.180000,39.459999,39.599998,34.961056,424650
2017-10-26,39.740002,39.759998,38.529999,39.700001,35.049347,1141122
2017-10-27,39.860001,40.040001,39.560001,39.889999,35.217083,501802
2017-10-30,39.650002,40.110001,39.650002,40.110001,35.411308,409704
2017-10-31,40.139999,40.240002,39.770000,39.910000,35.234737,326457
2017-11-01,40.090000,40.450001,39.930000,40.259998,35.543743,267233
2017-11-02,40.119999,40.430000,39.599998,39.810001,35.146461,502958
2017-11-03,39.939999,40.660000,39.709999,40.599998,35.843918,627009
2017-11-06,40.689999,40.799999,40.330002,40.459999,35.720314,323946
2017-11-07,40.529999,40.529999,39.779999,39.779999,35.119976,470616
2017-11-08,39.939999,40.000000,39.599998,40.000000,35.314198,336276
