Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,4.106000,4.138000,4.092000,4.118000,3.264406,7023838
2017-06-05,4.108000,4.110000,4.064000,4.066000,3.223184,8356532
2017-06-06,4.030000,4.122000,4.030000,4.100000,3.250137,7306533
2017-06-07,4.116000,4.154000,4.082000,4.106000,3.254893,9443097
2017-06-08,4.100000,4.174000,4.078000,4.166000,3.302456,11990381
2017-06-09,4.166000,4.220000,4.158000,4.198000,3.327823,13857572
2017-06-12,4.224000,4.236000,4.182000,4.182000,3.315140,9525688
2017-06-13,4.202000,4.208000,4.136000,4.144000,3.285017,7813561
2017-06-14,4.152000,4.172000,4.120000,4.120000,3.265991,8794904
2017-06-15,4.114000,4.128000,4.084000,4.122000,3.267577,12613292
2017-06-16,4.138000,4.166000,4.122000,4.166000,3.302456,12999661
2017-06-19,4.182000,4.204000,4.152000,4.162000,3.299286,7566011
2017-06-20,4.186000,4.186000,4.110000,4.110000,3.258064,7167783
2017-06-21,4.098000,4.150000,4.080000,4.146000,3.286602,6705647
2017-06-22,4.126000,4.140000,4.082000,4.082000,3.235868,6495335
2017-06-23,4.088000,4.106000,4.062000,4.098000,3.248551,5951819
2017-06-26,4.094000,4.122000,4.074000,4.084000,3.237454,5706552
2017-06-27,4.072000,4.088000,3.962000,3.962000,3.140742,10000349
2017-06-28,3.960000,3.998000,3.920000,3.982000,3.156596,10817761
2017-06-29,3.988000,3.988000,3.860000,3.886000,3.080496,11729600
2017-06-30,3.888000,3.922000,3.816000,3.816000,3.025005,11733862
2017-07-03,3.842000,3.876000,3.838000,3.866000,3.064641,7188325
2017-07-04,3.856000,3.856000,3.812000,3.830000,3.036103,6386813
2017-07-05,3.814000,3.830000,3.788000,3.806000,3.017078,8246377
2017-07-06,3.814000,3.858000,3.798000,3.820000,3.028176,9657498
2017-07-07,3.828000,3.830000,3.792000,3.798000,3.010737,5876631
2017-07-10,3.820000,3.872000,3.808000,3.846000,3.048787,6267395
2017-07-11,3.850000,3.868000,3.818000,3.828000,3.034518,5913320
