Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,4.680000,4.680000,4.598000,4.618000,3.736342,7985982
2017-04-04,4.620000,4.638000,4.596000,4.602000,3.723397,5369735
2017-04-05,4.614000,4.676000,4.574000,4.676000,3.783268,8446445
2017-04-06,4.650000,4.714000,4.646000,4.694000,3.797832,6453554
2017-04-07,4.690000,4.690000,4.652000,4.682000,3.788123,4253007
2017-04-10,4.684000,4.702000,4.640000,4.654000,3.765469,6772134
2017-04-11,4.616000,4.694000,4.612000,4.660000,3.770323,6860139
2017-04-12,4.664000,4.706000,4.640000,4.688000,3.792978,6165082
2017-04-13,4.682000,4.690000,4.636000,4.652000,3.763851,4564998
2017-04-18,4.656000,4.708000,4.638000,4.638000,3.752524,8317544
2017-04-19,4.666000,4.696000,4.626000,4.690000,3.794596,6181737
2017-04-20,4.684000,4.698000,4.660000,4.664000,3.773559,5057001
2017-04-21,4.654000,4.660000,4.598000,4.598000,3.720160,4498588
2017-04-24,4.690000,4.720000,4.658000,4.720000,3.818868,12038469
2017-04-25,4.728000,4.732000,4.640000,4.640000,3.754142,5519899
2017-04-26,4.654000,4.662000,4.616000,4.626000,3.742814,5834416
2017-04-27,4.600000,4.686000,4.600000,4.646000,3.758996,5683529
2017-04-28,4.638000,4.656000,4.610000,4.630000,3.746050,6114371
2017-05-02,4.610000,4.672000,4.604000,4.652000,3.763851,5764996
2017-05-03,4.652000,4.698000,4.620000,4.698000,3.801069,6390200
2017-05-04,4.664000,4.834000,4.656000,4.834000,3.911104,9234634
2017-05-05,4.832000,4.850000,4.778000,4.850000,3.924049,7246087
2017-05-08,4.850000,4.890000,4.824000,4.890000,3.956411,5842068
2017-05-09,4.856000,4.926000,4.844000,4.920000,3.980685,6458023
2017-05-10,4.910000,4.950000,4.898000,4.950000,4.004956,6556240
2017-05-11,4.936000,4.948000,4.886000,4.922000,3.982303,8662008
2017-05-12,4.876000,4.936000,4.876000,4.930000,3.988775,4654079
2017-05-15,4.940000,4.968000,4.894000,4.930000,3.988775,5659178
2017-05-16,4.900000,5.030000,4.892000,5.000000,4.045411,8338790
2017-05-17,4.976000,4.994000,4.930000,4.930000,3.988775,6415764
2017-05-18,4.960000,4.982000,4.884000,4.954000,4.008193,7336372
2017-05-19,4.940000,5.015000,4.904000,5.015000,4.057548,7262963
2017-05-22,4.986000,5.080000,4.964000,5.080000,4.110137,7493800
2017-05-23,5.060000,5.125000,5.035000,5.115000,4.138455,7843730
2017-05-24,5.095000,5.115000,5.015000,5.040000,4.077774,7187210
2017-05-25,5.040000,5.060000,5.015000,5.030000,4.069684,3236570
2017-05-26,5.020000,5.055000,5.010000,5.040000,4.077774,4928544
2017-05-29,5.015000,5.040000,4.926000,4.968000,4.019521,6610609
2017-05-30,4.932000,5.050000,4.930000,5.020000,4.061593,6361244
2017-05-31,5.030000,5.045000,4.998000,5.030000,4.069684,14325992
2017-06-01,5.020000,5.100000,5.020000,5.100000,4.126319,7319127
2017-06-02,5.100000,5.125000,5.060000,5.075000,4.106092,7479011
2017-06-05,5.075000,5.095000,5.030000,5.075000,4.106092,4881716
2017-06-06,5.040000,5.165000,5.035000,5.135000,4.154637,6375541
2017-06-07,5.150000,5.170000,5.095000,5.145000,4.162727,7664034
2017-06-08,5.125000,5.200000,5.090000,5.165000,4.178909,9594220
2017-06-09,5.150000,5.190000,5.135000,5.150000,4.166774,8607599
2017-06-12,5.150000,5.160000,5.055000,5.075000,4.106092,9598510
2017-06-13,5.080000,5.095000,5.050000,5.050000,4.085866,6755221
2017-06-14,5.070000,5.140000,5.055000,5.120000,4.142501,7567403
2017-06-15,5.120000,5.125000,5.055000,5.060000,4.093956,10250961
2017-06-16,5.095000,5.150000,5.070000,5.110000,4.134410,10109177
2017-06-19,5.000000,5.030000,4.976000,5.020000,4.170885,7131950
2017-06-20,5.050000,5.080000,4.996000,4.996000,4.150943,7014621
2017-06-21,4.998000,5.065000,4.980000,5.065000,4.208273,4351278
2017-06-22,5.055000,5.060000,5.015000,5.015000,4.166730,3367041
2017-06-23,5.010000,5.030000,4.954000,4.956000,4.117710,4938984
2017-06-26,4.942000,4.988000,4.934000,4.952000,4.114387,5332742
2017-06-27,4.934000,4.954000,4.810000,4.810000,3.996405,5952709
2017-06-28,4.796000,4.904000,4.744000,4.856000,4.034624,7669337
2017-06-29,4.850000,4.854000,4.710000,4.744000,3.941569,9267649
2017-06-30,4.754000,4.814000,4.712000,4.726000,3.926613,6127412
2017-07-03,4.726000,4.828000,4.726000,4.804000,3.991421,6012820
2017-07-04,4.796000,4.796000,4.734000,4.742000,3.939908,4381302
2017-07-05,4.750000,4.756000,4.706000,4.740000,3.938246,4807486
2017-07-06,4.740000,4.758000,4.666000,4.706000,3.909997,6890083
2017-07-07,4.732000,4.744000,4.706000,4.744000,3.941569,4623597
2017-07-10,4.768000,4.806000,4.742000,4.790000,3.979788,5051301
2017-07-11,4.784000,4.800000,4.730000,4.744000,3.941569,3773086
2017-07-12,4.762000,4.884000,4.734000,4.884000,4.057888,6129622
2017-07-13,4.878000,4.880000,4.806000,4.814000,3.999728,6967018
2017-07-14,4.824000,4.868000,4.804000,4.868000,4.044595,4179044
2017-07-17,4.860000,4.878000,4.822000,4.840000,4.021331,2972143
2017-07-18,4.806000,4.860000,4.806000,4.818000,4.003052,4033777
2017-07-19,4.848000,4.912000,4.840000,4.912000,4.081152,4363135
2017-07-20,4.918000,4.924000,4.834000,4.868000,4.044595,7691241
2017-07-21,4.850000,4.898000,4.850000,4.860000,4.037948,4398449
2017-07-24,4.860000,4.884000,4.846000,4.860000,4.037948,4663878
2017-07-25,4.868000,4.902000,4.842000,4.842000,4.022992,4149778
2017-07-26,4.856000,4.920000,4.844000,4.890000,4.062873,6645753
2017-07-27,4.860000,4.926000,4.852000,4.856000,4.034624,6460519
2017-07-28,4.860000,4.882000,4.782000,4.798000,3.986435,5040481
2017-07-31,4.806000,4.876000,4.800000,4.826000,4.009699,7411887
2017-08-01,4.842000,4.906000,4.812000,4.904000,4.074506,6288733
2017-08-02,4.900000,4.904000,4.858000,4.892000,4.064536,2890446
2017-08-03,4.892000,4.940000,4.854000,4.940000,4.104416,5662853
2017-08-04,4.944000,4.990000,4.924000,4.988000,4.144298,4126333
2017-08-07,4.980000,4.996000,4.954000,4.976000,4.134327,2392371
2017-08-08,4.972000,4.988000,4.944000,4.976000,4.134327,3401561
2017-08-09,4.960000,4.996000,4.932000,4.944000,4.107739,3570844
2017-08-10,4.970000,4.974000,4.920000,4.968000,4.127680,3430991
2017-08-11,4.974000,4.974000,4.860000,4.860000,4.037948,3620751
2017-08-14,4.896000,4.990000,4.862000,4.988000,4.144298,4376688
2017-08-16,4.980000,5.020000,4.974000,5.020000,4.170885,5356937
2017-08-17,5.020000,5.065000,5.000000,5.000000,4.154267,6493488
2017-08-18,5.000000,5.010000,4.960000,4.970000,4.129342,4314575
2017-08-21,4.968000,4.982000,4.934000,4.956000,4.117710,5121265
2017-08-22,4.982000,5.010000,4.934000,4.968000,4.127680,5494627
2017-08-23,4.990000,4.994000,4.906000,4.952000,4.114387,5981359
2017-08-24,4.960000,4.990000,4.944000,4.966000,4.126019,4024517
2017-08-25,4.944000,4.970000,4.920000,4.944000,4.107739,4373120
2017-08-28,4.914000,4.956000,4.914000,4.952000,4.114387,2973468
2017-08-29,4.924000,4.938000,4.880000,4.912000,4.081152,4349435
2017-08-30,4.928000,4.928000,4.870000,4.900000,4.071182,4771573
2017-08-31,4.916000,4.960000,4.902000,4.960000,4.121034,4562105
2017-09-01,4.980000,4.984000,4.956000,4.974000,4.132666,3580976
2017-09-04,4.940000,4.964000,4.930000,4.946000,4.109401,3379342
2017-09-05,4.932000,4.988000,4.930000,4.952000,4.114387,4312105
2017-09-06,4.934000,4.992000,4.890000,4.954000,4.116048,3285326
2017-09-07,4.978000,5.015000,4.954000,4.988000,4.144298,5765958
2017-09-08,5.000000,5.020000,4.950000,5.000000,4.154267,4212801
2017-09-11,5.020000,5.060000,5.005000,5.060000,4.204118,4819549
2017-09-12,5.065000,5.070000,4.980000,5.000000,4.154267,4981445
2017-09-13,4.986000,5.005000,4.912000,4.932000,4.097769,8586082
2017-09-14,4.930000,4.966000,4.922000,4.936000,4.101092,6671681
2017-09-15,4.962000,4.982000,4.944000,4.962000,4.122694,8617150
2017-09-18,4.970000,5.000000,4.948000,4.964000,4.124357,3277030
2017-09-19,4.950000,4.968000,4.928000,4.968000,4.127680,4509467
2017-09-20,4.948000,4.986000,4.904000,4.986000,4.142637,7638163
2017-09-21,4.980000,4.980000,4.936000,4.942000,4.106078,5826275
2017-09-22,4.942000,4.964000,4.934000,4.952000,4.114387,3151377
2017-09-25,4.934000,4.972000,4.928000,4.936000,4.101092,5516251
2017-09-26,4.936000,4.954000,4.918000,4.944000,4.107739,3733154
2017-09-27,4.944000,4.960000,4.896000,4.922000,4.089461,6613928
2017-09-28,4.910000,4.930000,4.854000,4.874000,4.049580,6489641
2017-09-29,4.892000,4.942000,4.876000,4.942000,4.106078,9092871
2017-10-02,4.954000,4.964000,4.912000,4.964000,4.124357,5693330
2017-10-03,4.954000,4.962000,4.906000,4.908000,4.077829,4539454
2017-10-04,4.914000,4.914000,4.854000,4.854000,4.032963,7361993
2017-10-05,4.862000,4.930000,4.854000,4.920000,4.087799,7245374
2017-10-06,4.908000,4.916000,4.870000,4.872000,4.047918,4100613
2017-10-09,4.868000,4.942000,4.868000,4.942000,4.106078,3943423
2017-10-10,4.934000,4.956000,4.908000,4.930000,4.096107,4436392
2017-10-11,4.934000,4.992000,4.928000,4.978000,4.135988,5892083
2017-10-12,4.976000,5.025000,4.962000,4.998000,4.152606,5466729
2017-10-13,5.015000,5.025000,4.986000,5.020000,4.170885,3714387
2017-10-16,4.998000,5.025000,4.996000,4.998000,4.152606,3248968
2017-10-17,5.005000,5.045000,4.982000,5.010000,4.162576,3923028
