Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,3.886000,3.888000,3.816000,3.816000,2.989735,2200364
2017-04-04,3.816000,3.890000,3.784000,3.890000,3.047712,2624914
2017-04-05,3.890000,3.900000,3.842000,3.846000,3.013239,3694265
2017-04-06,3.830000,3.858000,3.764000,3.850000,3.016373,2493343
2017-04-07,3.804000,3.840000,3.780000,3.812000,2.986601,2611282
2017-04-10,3.850000,3.850000,3.792000,3.816000,2.989735,2624355
2017-04-11,3.790000,3.856000,3.760000,3.786000,2.966231,2960169
2017-04-12,3.814000,3.838000,3.702000,3.702000,2.900419,4125051
2017-04-13,3.700000,3.710000,3.630000,3.676000,2.880049,2555141
2017-04-18,3.688000,3.708000,3.580000,3.586000,2.809536,2781263
2017-04-19,3.608000,3.698000,3.608000,3.692000,2.892584,2523925
2017-04-20,3.676000,3.744000,3.672000,3.734000,2.925490,2107777
2017-04-21,3.738000,3.762000,3.702000,3.730000,2.922356,3376556
2017-04-24,3.850000,3.930000,3.850000,3.930000,3.079051,5944926
2017-04-25,3.940000,4.000000,3.926000,4.000000,3.133894,2504054
2017-04-26,3.968000,4.010000,3.946000,3.996000,3.130760,2599032
2017-04-27,3.954000,4.016000,3.950000,3.992000,3.127626,2793737
2017-04-28,3.992000,4.140000,3.992000,4.092000,3.205973,5601379
2017-05-02,4.094000,4.156000,4.092000,4.122000,3.229478,3062442
2017-05-03,4.136000,4.150000,4.058000,4.150000,3.251415,2975084
2017-05-04,4.156000,4.244000,4.136000,4.244000,3.325061,3901820
2017-05-05,4.248000,4.290000,4.202000,4.264000,3.340731,3833829
2017-05-08,4.270000,4.346000,4.220000,4.312000,3.378337,3188866
2017-05-09,4.328000,4.380000,4.300000,4.324000,3.387739,3405993
2017-05-10,4.306000,4.340000,4.216000,4.228000,3.312526,3742048
2017-05-11,4.228000,4.350000,4.112000,4.112000,3.221642,3478438
2017-05-12,4.150000,4.220000,4.116000,4.220000,3.306258,2278827
2017-05-15,4.212000,4.230000,4.166000,4.178000,3.273352,2428211
2017-05-16,4.178000,4.194000,4.114000,4.130000,3.235745,4543787
2017-05-17,4.100000,4.130000,3.944000,3.994000,3.129193,5752805
2017-05-18,3.966000,3.998000,3.866000,3.978000,3.116657,4635043
2017-05-19,3.990000,4.016000,3.940000,4.016000,3.146429,4146646
